place_name,type,mention_count,total_digg,total_plays,max_followers,price_mentions,video_urls,confidence_high,popularity_score
Lạc Hư Cổ Trấn,khách sạn,1,40700,1800000,123200,,https://www.tiktok.com/@tiktokgapgiquaydo/video/7607409661502967058,0,230.7
Mai Anh Đào,thiên nhiên,1,49800,1700000,10300,,https://www.tiktok.com/@.lt.3605/video/7601868238388989191,1,229.8
Dream Garden Homestay,homestay,1,130900,854600,26000,,https://www.tiktok.com/@dreamgardenhomestay/video/7465903140534013185,1,226.36
Om Secret Hill Đà Lạt,homestay,1,41800,1600000,5782,,https://www.tiktok.com/@aihaohaohao/video/7565083466304408839,1,211.8
Cau Go San May,thiên nhiên,1,63500,1300000,240500,,https://www.tiktok.com/@tiemanhbaprangbo/video/7336046705617440007,1,203.5
The Florest,địa điểm checkin,1,57000,1300000,81400,,https://www.tiktok.com/@theflorestdalat/video/7598936749192023317,1,197.0
Quán cafe ngắm hoàng hôn,cafe,1,26300,1600000,222100,,https://www.tiktok.com/@dichoimoingay/video/7358722304156683527,1,196.3
Hồ Xuân Hương,thiên nhiên,1,34100,1500000,222100,,https://www.tiktok.com/@dichoimoingay/video/7474114773529939220,0,194.1
Langbiang Land,thiên nhiên,2,21127,1300407,16200,,https://www.tiktok.com/@langbiangland/video/7528369502120185095,2,171.17
Happy Hill Dalat,địa điểm checkin,1,20900,1400000,1300000,,https://www.tiktok.com/@happyhill.dalat/video/7325404021529791762,1,170.9
Sola Cafe Dalat,cafe,1,38200,1100000,60300,,https://www.tiktok.com/@chulamreview/video/7634093050142149895,0,158.2
Floating TOWN,cafe,1,26300,1200000,60300,,https://www.tiktok.com/@chulamreview/video/7596659252794723592,1,156.3
Quán cafe tựa bước ra từ cổ tích,cafe,1,17600,1100000,214600,,https://www.tiktok.com/@hifasne/video/7475687967948967176,1,137.6
Homestay A,homestay,1,26800,993200,42900,,https://www.tiktok.com/@dihetdalat/video/7574036754475404551,0,136.12
Homestay B,homestay,1,26800,993200,42900,,https://www.tiktok.com/@dihetdalat/video/7574036754475404551,0,136.12
Homestay C,homestay,1,26800,993200,42900,,https://www.tiktok.com/@dihetdalat/video/7574036754475404551,0,136.12
Homestay D,homestay,1,26800,993200,42900,,https://www.tiktok.com/@dihetdalat/video/7574036754475404551,0,136.12
Tru Truc Wolf House,homestay,1,16800,980900,34500,,https://www.tiktok.com/@tructruc.wolfhouse/video/7388387572537396496,1,124.89
Nhà hàng thiên đường,nhà hàng,1,14700,840400,42900,,https://www.tiktok.com/@dihetdalat/video/7537670988738137351,0,108.74
Homestay Đà Lạt,homestay,2,23300,582600,2400000,,https://www.tiktok.com/@thuykieu_2802/video/7635674359092333831,2,101.56
Tiệm Bánh Tráng Nho Nhỏ,chợ quán,1,22800,683200,1928,,https://www.tiktok.com/@tiembanhtrangnhin/video/7603237047783918868,0,101.12
Quán ngon Đà Lạt,chợ quán,1,21800,678900,5685,,https://www.tiktok.com/@quanngondalat/video/7419887760447737095,0,99.69
Cafe Năng Thủy Tinh,cafe,1,39700,494400,5107,,https://www.tiktok.com/@tiemcaffehoibichii/video/7613189551829404948,1,99.14
Homego,homestay,1,21100,666000,69600,,https://www.tiktok.com/@nguamodalat/video/7635525305557388564,1,97.7
Quán cafe có view Thuỵ Sĩ,cafe,1,16500,704200,206400,,https://www.tiktok.com/@dichoicunghuy/video/7379832340685573394,1,96.92
Săn Mây,homestay,3,17955,484798,17700,,https://www.tiktok.com/@uttieu.homestaydalat/video/7590765633806093575,2,96.43
Lưng Chừng Home,homestay,2,11952,640700,92900,,https://www.tiktok.com/@reviewhomestaydalat/video/7591455298607484181,2,96.02
Lơ Mơ Homestay,homestay,1,12800,714000,4533,200k/người,https://www.tiktok.com/@lomohomestay.dalat/video/7516782237312929042,1,94.2
"Phở gà trộn, miến gà trộn Đà Lạt quán Nguyễn Gia",chợ quán,1,12200,684400,5685,,https://www.tiktok.com/@quanngondalat/video/7417303437462768904,0,90.64
Bún bò Huế Thiên Trang,chợ quán,1,16900,625700,160800,,https://www.tiktok.com/@mr.cunghe/video/7129358708542393627,1,89.47
Tiệm nướng trong rừng @Miền Du Mục,chợ quán,1,18800,585200,758200,,https://www.tiktok.com/@dieuhoang211/video/7523798698493545735,0,87.32
Trạm Ký Ức,địa điểm checkin,1,18800,585200,758200,,https://www.tiktok.com/@dieuhoang211/video/7523798698493545735,1,87.32
Chợ mới Đà Lạt,chợ quán,1,21400,533900,207700,,https://www.tiktok.com/@didalatcungtruc/video/7606909036549688597,1,84.79
tiệm trà mới mở,cafe,1,28200,458900,14700,,https://www.tiktok.com/@thaodimuonnoi/video/7634755846488050964,0,84.09
Nao Ranh Cafe,cafe | địa điểm checkin,1,10400,602000,81600,,https://www.tiktok.com/@naoranhcaphe/video/7585400904535297296,1,80.6
Thác 7 Tầng,thiên nhiên,4,7923,317877,140400,,https://www.tiktok.com/@didendaudo/video/7263684270265224449,4,79.71
Săn Mây Đà Lạt,địa điểm checkin,3,12204,334894,77900,199k/ng,https://www.tiktok.com/@toursanmaydalat39/video/7635096359519096085,3,75.69
Tháp truyền hình,địa điểm checkin,1,16000,486800,4567,,https://www.tiktok.com/@tiemcomganh/video/7590616146706042132,1,74.68
Biệt thự đồi Robin,địa điểm checkin,1,16000,486800,4567,,https://www.tiktok.com/@tiemcomganh/video/7590616146706042132,1,74.68
Cung đường Bắc Âu,địa điểm checkin,1,16000,486800,4567,,https://www.tiktok.com/@tiemcomganh/video/7590616146706042132,1,74.68
Bức tường Hàn Quốc,địa điểm checkin,1,16000,486800,4567,,https://www.tiktok.com/@tiemcomganh/video/7590616146706042132,1,74.68
Góc Dã Tượng và Yết Kiêu,địa điểm checkin,1,16000,486800,4567,,https://www.tiktok.com/@tiemcomganh/video/7590616146706042132,1,74.68
Cung đường Hàn Thuyên,địa điểm checkin,1,16000,486800,4567,,https://www.tiktok.com/@tiemcomganh/video/7590616146706042132,1,74.68
Om Secret Hill Dalat,homestay,1,8727,555800,40200,,https://www.tiktok.com/@shundidau_/video/7610461933954764053,1,74.31
Cafe săn mây Đà Lạt,cafe,1,12600,516400,10600,,https://www.tiktok.com/@review.lt7/video/7601839891789532437,1,74.24
Giữa lòng thác,thiên nhiên,1,16000,438300,30700,,https://www.tiktok.com/@chamdidaudo/video/7608182381735972103,1,69.83
1/2 Circle Coffee,cafe,1,5518,535900,76800,,https://www.tiktok.com/@duocroidithoi.sg/video/7387617478555258120,1,69.11
REO Campsite,địa điểm checkin,1,13900,400100,102900,,https://www.tiktok.com/@reodalat/video/7494138513517071624,1,63.91
Trúc Trực Wolf House,homestay,1,6010,440900,34500,,https://www.tiktok.com/@tructruc.wolfhouse/video/7524347222104804615,1,60.1
Quán lẩu cá tầm,chợ quán,1,7435,426200,789800,,https://www.tiktok.com/@nhandian/video/7580740804403039496,0,60.06
San Mai Dalat,địa điểm checkin,1,14300,329300,34500,,https://www.tiktok.com/@sanmaydalat_/video/7599275440716451079,1,57.23
Mien Du Muc coffee,cafe,1,9965,365600,44400,,https://www.tiktok.com/@vietnammoment.official/video/7583993449930624276,1,56.53
Thác Đatanlar,thiên nhiên,2,9478,237300,653,,https://www.tiktok.com/@trieunhivlog/video/7474836484277701896,2,53.21
Cafe Solé,địa điểm checkin,1,10200,324100,107100,,https://www.tiktok.com/@thaoleader/video/7636004586985213204,1,52.61
Homestay Tranoi,homestay,1,4960,370600,74200,,https://www.tiktok.com/@ngoctran95_03/video/7349139757395479815,1,52.02
Quán cafe HabaNuru,cafe,1,4960,370600,74200,,https://www.tiktok.com/@ngoctran95_03/video/7349139757395479815,0,52.02
Oday Co Homexinh,homestay,1,6386,341800,71800,,https://www.tiktok.com/@odaycohomexinh/video/7593300052982926612,1,50.57
Happy Hill Coffee,cafe,2,6213,223000,1288,,https://www.tiktok.com/@happyhill...dalat/video/7637101558462991624,2,48.51
khu Hoà Bình,địa điểm checkin,1,5894,303800,5706,,https://www.tiktok.com/@dicunghaii/video/7485220055970565383,1,46.27
Quán Gió,chợ quán,1,4438,293400,6621,,https://www.tiktok.com/@mai_riviu/video/7535782357450657044,0,43.78
Home Nham Minh,homestay,1,6883,265700,715,,https://www.tiktok.com/@homenhaminh_dalat/video/7617854710699117842,1,43.45
Đèo Prenn,thiên nhiên,2,6603,162300,10300,,https://www.tiktok.com/@hoang.nguyen5696/video/7636784268684889365,2,42.83
Cafe Nhà Của Thông,cafe,1,5243,267900,27800,,https://www.tiktok.com/@dalatdreamer/video/7629190237842918674,1,42.03
Khoai Lang Nướng,chợ quán,1,5852,258800,5685,,https://www.tiktok.com/@quanngondalat/video/7532857742118096148,1,41.73
Sia Home,homestay,1,3893,269300,40200,,https://www.tiktok.com/@shundidau_/video/7626742396323187988,1,40.82
Hồ Tuyền Lâm,thiên nhiên,1,14000,164900,7892,,https://www.tiktok.com/@rng.m963/video/7558721922368867604,1,40.49
Bánh tráng nướng Cô Hiệp,chợ quán,1,4520,254900,5685,,https://www.tiktok.com/@quanngondalat/video/7474225694147415314,1,40.01
The Lake House Dalat,cafe,1,3349,264400,808,,https://www.tiktok.com/@greenleila24/video/7469306140325711122,1,39.79
Khách sạn 3 sao trung tâm Đà Lạt,khách sạn,1,3747,256700,10600,600k/đêm,https://www.tiktok.com/@review.lt7/video/7603579388763917589,0,39.42
Langfarm Center,thiên nhiên,1,2914,261800,263300,,https://www.tiktok.com/@ghiendalat_official/video/7535672971080371474,1,39.09
Langfarm Buffet,chợ quán,1,2914,261800,263300,,https://www.tiktok.com/@ghiendalat_official/video/7535672971080371474,0,39.09
Căn Tin 59 Đà Lạt,chợ quán,1,6871,214500,70600,12k - 25k/ món,https://www.tiktok.com/@julepe.sheen/video/7503944643298479378,1,38.32
Thác Prenn,thiên nhiên,2,2054,143600,8227,,https://www.tiktok.com/@dalatcungtico/video/7234122283558767877,2,36.41
Thác Datanla,thiên nhiên,3,851,46426,16800,,https://www.tiktok.com/@tinhdidaydido.travelvlog/video/7602245369891704084,3,35.49
Tắm Thác,thiên nhiên,1,6448,189500,3686,,https://www.tiktok.com/@chillwith_us/video/7488924876611374341,1,35.4
Dalat Villa,homestay,1,4744,206400,8437,,https://www.tiktok.com/@dalatanyenvilla/video/7629665903788969224,1,35.38
Oday Coffee Home,homestay,1,6025,166500,71800,,https://www.tiktok.com/@odaycohomexinh/video/7623762181804543253,1,32.67
Quán cà phê Cô Long,cafe,1,5566,170500,2406,,https://www.tiktok.com/@dalatlamdongvn/video/7630797274771180817,1,32.62
Làng Cù Lần,thiên nhiên,1,3497,191100,57200,,https://www.tiktok.com/@bacxiuneee_/video/7605564991403560213,1,32.61
Thác Pongour,thiên nhiên,3,163,8773,4447,,https://www.tiktok.com/@thanhlanbt88/video/7635497474953596167,3,31.04
Thác May,thiên nhiên,2,1339,93837,2300,,https://www.tiktok.com/@thacmaydalat/video/7634170169182424340,2,30.72
Quán ăn vặt ngon Đà Lạt,chợ quán,1,4979,155400,5685,,https://www.tiktok.com/@quanngondalat/video/7540213903972666645,0,30.52
Quán cơm gia đình Đà Lạt,chợ quán,1,4979,155400,5685,,https://www.tiktok.com/@quanngondalat/video/7540213903972666645,0,30.52
Nhà hàng lẩu nướng Đà Lạt,nhà hàng,1,4979,155400,5685,,https://www.tiktok.com/@quanngondalat/video/7540213903972666645,0,30.52
Tiệm trà bên suối,chợ quán,1,3700,150600,207700,,https://www.tiktok.com/@didalatcungtruc/video/7634066079660182805,1,28.76
Chuyện Của Mơ Đà Lạt,cafe,1,12600,49400,3786,,https://www.tiktok.com/@renleafylens.global/video/7634860293104946450,1,27.54
Khu tổ hợp trò chơi giải trí,địa điểm checkin,1,1275,158100,49400,,https://www.tiktok.com/@toiudl/video/7475537134867238151,1,27.09
Delight Park Đà Lạt,địa điểm checkin,1,2444,144300,111100,,https://www.tiktok.com/@nhanphepha/video/7610772204464164117,1,26.87
Khách sạn đẹp trung tâm Đà Lạt,khách sạn,1,1607,141200,10900,,https://www.tiktok.com/@combo.ngavivu/video/7552718308580019477,0,25.73
Eat Vặt Xù,chợ quán,1,2739,128200,207700,,https://www.tiktok.com/@didalatcungtruc/video/7594045747868306708,1,25.56
Homestay Dalat,homestay,2,573,48288,1725,<150$/people,https://www.tiktok.com/@bookphonghomestaydalat/video/7636369206904245525,1,25.4
Tiệm ăn vặt Ying Đà Lạt,chợ quán,1,2198,130100,207700,,https://www.tiktok.com/@didalatcungtruc/video/7483496164009069831,1,25.21
L'amant de Dalat,homestay,1,3404,117400,342,,https://www.tiktok.com/@lamant.de.dalat/video/7616637200691678484,1,25.14
Mint Coffee & Tea,cafe,1,3899,102500,5685,,https://www.tiktok.com/@quanngondalat/video/7606963392359730452,1,24.15
Box Studio,địa điểm checkin,1,1851,120500,110600,,https://www.tiktok.com/@sonharryy/video/7252905458686594309,1,23.9
Son Harryy,địa điểm checkin,1,1851,120500,110600,,https://www.tiktok.com/@sonharryy/video/7252905458686594309,0,23.9
Hellodalat,địa điểm checkin,1,1851,120500,110600,,https://www.tiktok.com/@sonharryy/video/7252905458686594309,1,23.9
Tiệm ăn vặt Đà Lạt,chợ quán,1,2939,108800,207700,,https://www.tiktok.com/@didalatcungtruc/video/7583956254150659348,0,23.82
"Dalat, Vietnam",thiên nhiên,1,4804,89400,71100,,https://www.tiktok.com/@two_peas_abroad/video/7619697125416291606,1,23.74
Home này,homestay,1,3591,98700,33100,,https://www.tiktok.com/@nguoitrerongchoi/video/7567245589256146177,1,23.46
Tiệm Gà Tuk Tuk,chợ quán,1,1320,107400,5685,,https://www.tiktok.com/@quanngondalat/video/7569128747845176597,1,22.06
Tiệm cơm Mêli Đà Lạt,chợ quán,1,1091,107400,5685,,https://www.tiktok.com/@quanngondalat/video/7446651507530845447,1,21.83
Cầu Đất,thiên nhiên,2,201,15641,56900,,https://www.tiktok.com/@ducdodalat/video/7294170018793737479,2,21.77
Cafe Chill,cafe,1,1087,105600,123200,,https://www.tiktok.com/@tiktokgapgiquaydo/video/7492225663596760328,0,21.65
Thác Lien Khuong,thiên nhiên,1,1094,97800,8227,,https://www.tiktok.com/@dalatcungtico/video/7234122283558767877,1,20.87
Chợ Đà Lạt,chợ quán,1,1967,88800,250,siêu rẻ HSSV,https://www.tiktok.com/@ngotdichoi/video/7587357211525926164,1,20.85
Villa sát Hồ Xuân Hương,homestay,1,1032,92500,6591,,https://www.tiktok.com/@locvilladalat/video/7551782935750479124,1,20.28
Rừng Mơ,cafe,1,2284,68200,9736,,https://www.tiktok.com/@ama.vietnam.blog/video/7613373066021735687,1,19.1
Quán ăn vặt Đà Lạt,chợ quán,1,2144,61600,5685,,https://www.tiktok.com/@quanngondalat/video/7522764403435982088,1,18.3
Quán ăn vặt Chiên,chợ quán,1,1866,63000,5685,,https://www.tiktok.com/@quanngondalat/video/7434372010249063698,0,18.17
Gạch Since 1988 Cafe,cafe,1,1608,60200,555,,https://www.tiktok.com/@haannday/video/7631923500042800392,1,17.63
Thác Đa Lat,thiên nhiên,1,1506,60600,26700,,https://www.tiktok.com/@ducdodalat/video/7609615653535747335,1,17.57
Homestay Săn Mây,homestay,1,893,61000,3626,giá,https://www.tiktok.com/@uttieu.homestaydalat/video/7637823397933632776,1,16.99
Coffee farm,thiên nhiên,1,935,60100,71100,,https://www.tiktok.com/@two_peas_abroad/video/7549937570201816342,1,16.95
Canyoning,thiên nhiên,1,935,60100,71100,,https://www.tiktok.com/@two_peas_abroad/video/7549937570201816342,1,16.95
Night market,chợ quán,1,935,60100,71100,,https://www.tiktok.com/@two_peas_abroad/video/7549937570201816342,0,16.95
Mongo land,khác,1,935,60100,71100,,https://www.tiktok.com/@two_peas_abroad/video/7549937570201816342,0,16.95
Mario kart irl,khác,1,935,60100,71100,,https://www.tiktok.com/@two_peas_abroad/video/7549937570201816342,0,16.95
Crazy house,khác,1,935,60100,71100,,https://www.tiktok.com/@two_peas_abroad/video/7549937570201816342,0,16.95
Maze bar,cafe,1,935,60100,71100,,https://www.tiktok.com/@two_peas_abroad/video/7549937570201816342,0,16.95
Warm tofu,khác,1,935,60100,71100,,https://www.tiktok.com/@two_peas_abroad/video/7549937570201816342,0,16.95
Banh mi xiu mai,chợ quán,1,935,60100,71100,,https://www.tiktok.com/@two_peas_abroad/video/7549937570201816342,0,16.95
Waterfall hopping,thiên nhiên,1,935,60100,71100,,https://www.tiktok.com/@two_peas_abroad/video/7549937570201816342,1,16.95
Quán ăn Bản Địa Đà Lạt,chợ quán,1,731,48500,5685,,https://www.tiktok.com/@quanngondalat/video/7460082988379049224,1,15.58
Thác Dambri,thiên nhiên,1,960,45800,5478,,https://www.tiktok.com/@lasapinettedalat/video/7511670124668046600,1,15.54
Thác Pongour (Thác Bảy Tầng),thiên nhiên,1,960,45800,5478,,https://www.tiktok.com/@lasapinettedalat/video/7511670124668046600,1,15.54
Thác Voi,thiên nhiên,1,960,45800,5478,,https://www.tiktok.com/@lasapinettedalat/video/7511670124668046600,1,15.54
Thác Hang Cọp,thiên nhiên,1,960,45800,5478,,https://www.tiktok.com/@lasapinettedalat/video/7511670124668046600,1,15.54
Thác Bảo Đại,thiên nhiên,1,960,45800,5478,,https://www.tiktok.com/@lasapinettedalat/video/7511670124668046600,1,15.54
Thác Dasara,thiên nhiên,1,960,45800,5478,,https://www.tiktok.com/@lasapinettedalat/video/7511670124668046600,1,15.54
Thác Bobla (Thác Liên Đầm),thiên nhiên,1,960,45800,5478,,https://www.tiktok.com/@lasapinettedalat/video/7511670124668046600,1,15.54
Thác Datanalada,thiên nhiên,1,1664,33100,5238,,https://www.tiktok.com/@hoanganh.nicole/video/7231038630255480070,1,14.97
San May Cau Dalat,địa điểm checkin,1,558,42700,34500,,https://www.tiktok.com/@sanmaydalat_/video/7571054608815082759,1,14.83
Hoa Phượng Tím,địa điểm checkin,1,602,40100,42900,,https://www.tiktok.com/@dihetdalat/video/7612572085180845333,0,14.61
Quán ăn hạt siu hạt dẻ,chợ quán,1,272,36700,42800,,https://www.tiktok.com/@chuyen_cua_nu/video/7300857634893221138,0,13.94
Ẩm thực Nam Anh Phát,chợ quán,1,2115,18200,5685,,https://www.tiktok.com/@quanngondalat/video/7458879362511686920,1,13.94
Đồi Đa Phú,thiên nhiên,1,293,35400,7950,,https://www.tiktok.com/@tinaonthegooo/video/7168542515551948059,1,13.83
Dalart Glamping,homestay,1,163,34600,1418,,https://www.tiktok.com/@dalart_glampingg/video/7582146251852909842,1,13.62
Điểm săn mây đẹp nhất Đà Lạt,thiên nhiên,1,317,22800,2693,,https://www.tiktok.com/@dalattrongtim7/video/7588506929337584903,1,12.6
THÁC 7 TẦNG ĐÀ LẠT,thiên nhiên,1,265,22600,16800,,https://www.tiktok.com/@ngavuica/video/7218601994297101595,1,12.53
一角拍照新角落,地點打卡,1,944,15800,313300,,https://www.tiktok.com/@chillcungyang/video/7633673488582118663,0,12.52
Chùa Linh Phước,địa điểm checkin,1,253,20000,3121,,https://www.tiktok.com/@tuankien.hoangkimtravel/video/7634580167255510279,1,12.25
Chiếc homestay Đà Lạt,homestay,1,521,10000,59300,từ 350k,https://www.tiktok.com/@hanyu339/video/7635585864441138452,1,11.52
Café Cột Sắt,cafe,1,201,11600,789800,,https://www.tiktok.com/@nhandian/video/7635214351682522388,0,11.36
Café Cung Điện,cafe,1,201,11600,789800,,https://www.tiktok.com/@nhandian/video/7635214351682522388,0,11.36
Cicilia Rouge Dalat, khách sạn,1,140,10300,2949,,https://www.tiktok.com/@congtyhoadalattravel.vn/video/7630011968153193748,1,11.17
Mallorie Hotel, khách sạn,1,140,10300,2949,,https://www.tiktok.com/@congtyhoadalattravel.vn/video/7630011968153193748,1,11.17
La Chérie Dalat, khách sạn,1,140,10300,2949,,https://www.tiktok.com/@congtyhoadalattravel.vn/video/7630011968153193748,1,11.17
Cuối tuần Linn đi Đà Lạt,homestay,1,89,7891,13200,,https://www.tiktok.com/@linnsharinghomedalat/video/7536814876862221576,1,10.88
Guama Homestay,homestay,1,63,5933,69600,1tr1/ đêm,https://www.tiktok.com/@nguamodalat/video/7638250028758453524,1,10.66
Đèo SaCom,thiên nhiên,1,87,5334,26400,,https://www.tiktok.com/@giaygiaydalat/video/7638543354824854791,1,10.62
Homestay Andalat,homestay,1,240,3204,50200,,https://www.tiktok.com/@namkinhcan3004/video/7636356410216942866,1,10.56
Village Story,địa điểm checkin,1,71,4773,25700,,https://www.tiktok.com/@viehongdidau/video/7632976770332921095,1,10.55
Long Quan Dui,homestay,1,54,4336,139400,,https://www.tiktok.com/@longquandui/video/7603970364657421586,1,10.49
Hoa Nham Minh,homestay,1,88,3969,715,,https://www.tiktok.com/@homenhaminh_dalat/video/7638125167322877191,1,10.48
Đồi Mộng Mơ,thiên nhiên,1,189,2312,1339,,https://www.tiktok.com/@sk1p3r009/video/7497089146683542830,1,10.42
Datanla Đà Lạt,thiên nhiên,1,11,3141,14600,,https://www.tiktok.com/@wikidulich.com/video/7577590169797152018,1,10.33
Check-in free,địa điểm checkin,1,51,2449,43,,https://www.tiktok.com/@quin.pham997/video/7638249784771349780,0,10.3
Thác Phí Liêng,thiên nhiên,1,104,1912,159,,https://www.tiktok.com/@datvolamdong/video/7634156937034173716,1,10.3
LUXURY HOTEL ĐÀ LẠT,khách sạn,1,58,2325,123200,rẻ,https://www.tiktok.com/@tiktokgapgiquaydo/video/7638409963882188040,1,10.29
Địa điểm check in miễn phí,địa điểm checkin,1,62,1212,515,,https://www.tiktok.com/@dahala.travel/video/7566847171107081480,0,10.18
đồi Măng Lin,thiên nhiên,1,69,1104,640,,https://www.tiktok.com/@elllyvo/video/7627508083354324231,1,10.18
phòng khách sạn,khách sạn,1,34,1329,39,,https://www.tiktok.com/@catanh.hotel/video/7638246646534458631,0,10.17
Nhà Đẹp Dalat,khách sạn,1,15,1453,169,,https://www.tiktok.com/@biakhomucdalat68/video/7566266700388175122,0,10.16
Đà Lạt,thiên nhiên,1,74,892,60,,https://www.tiktok.com/@thorrr0012/video/7595076662346370324,1,10.16
Home đẹp,homestay,1,34,1167,1530,giá rẻ,https://www.tiktok.com/@duyenbookingdalat/video/7614884311837281554,1,10.15
ĐỐM,cafe,1,68,627,698,,https://www.tiktok.com/@tunvitdalat/video/7609889502294838549,1,10.13
Lẩu Treo Hoàng Hôn,chợ quán,1,8,373,0,,https://www.tiktok.com/@lautreohoanghon/video/7638308815603125522,0,10.05
Bánh Tráng Nướng Ngon Nhất Đà Lạt,chợ quán,1,154400,2400000,87800,,https://www.tiktok.com/@nhienthichan/video/7042878105987468546,0,404.4
Tiệm Cơm Gia Đình Ngon,chợ quán,1,19500,2100000,242500,bình dân,https://www.tiktok.com/@du_lich_dalat/video/7325313221819108610,1,239.5
Cà Tám Đà Lạt,chợ quán,1,54300,1600000,229100,,https://www.tiktok.com/@huevui98/video/7597422283459792136,1,224.3
Datanla,thiên nhiên,5,16316,970928,216400,,https://www.tiktok.com/@datanlawaterfall/video/7600226111255072018,5,163.41
Lang Biang Land,thiên nhiên,2,14945,1201069,16200,,https://www.tiktok.com/@_jingbo_/video/7474884678378343687,1,155.05
thác Datanla,thiên nhiên,6,14805,786122,789800,170k 1 người,https://www.tiktok.com/@nhandian/video/7468691106100776200,6,153.42
Langbiang,thiên nhiên,10,6510,149490,4227,,https://www.tiktok.com/@tc.tour/video/7588900908193320213,10,121.46
Quán local,chợ quán,1,6187,467900,1700000,,https://www.tiktok.com/@khaikhampha/video/7561794472640646407,0,62.98
Lang Biang,thiên nhiên,5,1998,84267,48700,,https://www.tiktok.com/@quynnchiiuu/video/7636719449567005959,5,60.42
Datanla Adventure Activities,thiên nhiên,1,20900,294600,695,,https://www.tiktok.com/@atiqahumirah_/video/7558449624244129031,1,60.36
Tiệm nướng local,chợ quán,1,10300,398800,59800,,https://www.tiktok.com/@hoanganhdidau/video/7592237795184348424,1,60.18
Da Lat Night Market,chợ quán,1,15300,308000,635900,,https://www.tiktok.com/@nama.bites/video/7190212898000571653,1,56.1
Đỉnh Langbiang,thiên nhiên,1,2913,246300,30100,,https://www.tiktok.com/@ha.didau/video/7447872324709256466,1,37.54
Quán nướng Đà Lạt,chợ quán,1,2766,208000,10600,,https://www.tiktok.com/@review.lt7/video/7602437711156219157,1,33.57
chỗ chụp hình,địa điểm checkin,1,1659,197900,1029,,https://www.tiktok.com/@chu3thun/video/7618431180450336008,0,31.45
