place_name,type,mention_count,total_digg,total_plays,max_followers,price_mentions,video_urls,confidence_high,popularity_score
Quán cà phê Cô Long,cafe,1,5582,171000,2432,,https://www.tiktok.com/@dalatlamdongvn/video/7630797274771180817,1,32.68
Tháp truyền hình Đà Lạt,địa điểm checkin,1,5110,150700,5133,,https://www.tiktok.com/@sino4994/video/7610766108861172999,1,30.18
Băng Đàn Garden,cafe,1,2396,171500,11800,,https://www.tiktok.com/@comdongbao47/video/7596484433016900885,1,29.55
Cơm Gà Bình Dân,chợ quán,1,3344,158000,455500,平价,https://www.tiktok.com/@dicungphuc/video/7544952330693840136,1,29.14
Quán cơm số 7,chợ quán,1,2196,151600,43800,,https://www.tiktok.com/@tanohien/video/7371443709138832648,1,27.36
Quán Cơm Niêu Ngon,chợ quán,1,1575,147500,242400,,https://www.tiktok.com/@du_lich_dalat/video/7349758713667898625,0,26.32
Tiệm Trà Thông Mơ,cafe,1,1036,107000,25300,,https://www.tiktok.com/@dicungdalat/video/7634466778566888712,1,21.74
Dalat's Cafe,cafe,2,427,7206,3272,,https://www.tiktok.com/@lou502city/video/7625401545194065183,1,21.15
Quán cơm Niêu,chợ quán,1,1448,84200,118500,,https://www.tiktok.com/@nhatlinhneeeee/video/7509356990028647687,0,19.87
Quán Cơm Đà Lạt Ngon Như Cơm Mẹ Nấu,chợ quán,1,1406,84300,242400,,https://www.tiktok.com/@du_lich_dalat/video/7396907489075252487,1,19.84
Quán Cà phê Hoa Xương Rồng,cafe,1,1977,75100,184,,https://www.tiktok.com/@caphedalat01/video/7414005832070860040,1,19.49
Tiệm cơm Bình Yên,quán ăn,1,2407,64300,302600,,https://www.tiktok.com/@chidichilll/video/7607257270879128839,1,18.84
Airdream Coffee Dalat,cafe,1,472,81100,184,,https://www.tiktok.com/@caphedalat01/video/7451922064589606152,1,18.58
Ga49 Dalat,cafe,1,3075,52200,1332,,https://www.tiktok.com/@checkindalat24h/video/7632297555413437704,1,18.3
The Lam,chợ quán,1,784,74700,2125,80k,https://www.tiktok.com/@thelam35lytutrong/video/7564221039358561544,1,18.25
Cơm Tấm Utle,chợ quán,1,765,65500,242400,,https://www.tiktok.com/@du_lich_dalat/video/7524272450293517576,0,17.32
Quán cf đón hoàng hôn,cafe,1,1250,57800,336100,,https://www.tiktok.com/@lulureview_/video/7605923721500544263,1,17.03
Tavin Coffee,cafe,1,1537,49100,15700,,https://www.tiktok.com/@dalat_reels/video/7592931867377224980,1,16.45
Quán cafe mới toanh tại Đà Lạt,cafe,1,1219,49700,117,,https://www.tiktok.com/@littletown.dalat/video/7632129162613951752,0,16.19
Quán cf mới mở,cafe,1,623,53700,111100,,https://www.tiktok.com/@nhanphepha/video/7603708453218979092,1,15.99
New Light Coffee Đà Lạt,cafe,1,663,52900,207700,,https://www.tiktok.com/@didalatcungtruc/video/7633363595354590485,1,15.95
Quảng Trường La Mã,địa điểm checkin,1,1193,45100,26700,,https://www.tiktok.com/@ducdodalat/video/7601042075273923858,1,15.7
Cafe hidden hẻm nhỏ Đà Lạt,cafe,1,1479,37700,4106,,https://www.tiktok.com/@caphedi.dalat/video/7398767159897246994,0,15.25
Tiệm cơm Hồi Nớ,chợ quán,1,916,40900,9914,ngon rẻ,https://www.tiktok.com/@nghiabiu.daily/video/7617051471355350292,1,15.01
hostel,homestay,1,772,38000,17500,,https://www.tiktok.com/@reeceisgone/video/7601562561313803542,1,14.57
Tiệm cơm Linh,chợ quán,1,644,37800,51900,,https://www.tiktok.com/@bolonton_/video/7480398850885274888,0,14.42
Quán cà phê ngắm hoàng hôn,cafe,1,331,39600,184,,https://www.tiktok.com/@caphedalat01/video/7389894220972166421,0,14.29
Hoa Xương Rồng,cafe,1,688,33600,184,,https://www.tiktok.com/@caphedalat01/video/7432858277999922440,1,14.05
Chuyện Của Mơ,cafe,1,374,36000,336100,,https://www.tiktok.com/@lulureview_/video/7632984252665122066,1,13.97
Tiệm Bánh Mì,chợ quán,1,322,36400,15600,,https://www.tiktok.com/@dalatstreet/video/7632132173440535828,0,13.96
Tiệm cơm nhà ngon,chợ quán,1,143,31400,231300,,https://www.tiktok.com/@baro.phe/video/7431168879977630994,1,13.28
Cherry Pet Coffee,cafe,1,227,28300,7447,,https://www.tiktok.com/@hiakhoa/video/7326562163907235074,1,13.06
Tiệm cafe cos,cafe,1,411,21400,20500,,https://www.tiktok.com/@chenhvenhcoffee/video/7614896395031465234,1,12.55
Cô Vy Chilly,cafe,1,279,21900,39100,,https://www.tiktok.com/@vie.viee__/video/7624514687627054356,1,12.47
Nhà Thờ Vinh Sơn,thiên nhiên,1,340,11200,385,,https://www.tiktok.com/@daddydalat/video/7632503603315363080,1,11.46
Cottage House,cafe,1,101,12700,2449,,https://www.tiktok.com/@thomdalat/video/7541610504578469127,1,11.37
Coffee Shops,cafe,1,175,9604,32900,,https://www.tiktok.com/@jacobj_lars/video/7625439166242802958,0,11.14
Bánh Mì BA ĐỜI,chợ quán,1,373,6725,12400,,https://www.tiktok.com/@linhtoursanmaydalat/video/7507842610304699656,0,11.05
Da Lat Railway Station,địa điểm checkin,1,213,6848,210100,,https://www.tiktok.com/@vietnamtodayvtv/video/7577343259538689298,1,10.9
ATÊ goy,cafe,1,90,7562,458,,https://www.tiktok.com/@atesignature.dalat/video/7618554983851691284,1,10.85
Banh Mi Xiu Mai,chợ quán,1,193,6545,12600,,https://www.tiktok.com/@minutemuncher/video/7436000173614009643,0,10.85
Cafe rừng nhiệt đới thu nhỏ,cafe,1,103,7005,39100,,https://www.tiktok.com/@vie.viee__/video/7622681539838561557,1,10.8
Cafe Moidalat,cafe,1,130,6665,184,baotienmotmobinhyen,https://www.tiktok.com/@caphedalat01/video/7390576299573562644,1,10.8
Tiệm cà phê Custty - Coffee & More Đà Lạt,cafe,1,58,7331,184,,https://www.tiktok.com/@caphedalat01/video/7450131900565327111,1,10.79
WAKEN BEANS COFFEE,cafe,1,193,5662,207,,https://www.tiktok.com/@dky.zzz0/video/7637853189676584212,1,10.76
Thác May,thiên nhiên,1,167,5033,26700,,https://www.tiktok.com/@thacmay/video/7637837175719054593,1,10.67
Cheo veo cà phê,cafe,1,75,4489,346,,https://www.tiktok.com/@chagiotomthitsieungon/video/7598760559059750165,1,10.52
Circle Coffee,cafe,1,343,1623,9772,,https://www.tiktok.com/@hoaithuong420/video/7626258724960603412,1,10.51
Quán cơm gà có nhiều loại sốt,chợ quán,1,52,3615,5938,,https://www.tiktok.com/@comgakuboc.dalat/video/7628488627995086100,0,10.41
Quán cà phê Đà Lạt,cafe,1,73,2936,117,,https://www.tiktok.com/@littletown.dalat/video/7634114282900196626,0,10.37
Dốc Thị,thiên nhiên,1,77,1740,597,,https://www.tiktok.com/@top.check.in.da.lat/video/7575390744442064149,1,10.25
AirDream Cafe,cafe,1,28,2070,1272,,https://www.tiktok.com/@airdreamcafe/video/7638126017940376840,1,10.24
Quán Cơm Linh Đà Lạt,chợ quán,1,54,1321,647,,https://www.tiktok.com/@quancomlinh.doithuong/video/7637753715897715975,0,10.19
LIMI WORLD,địa điểm checkin,1,20,1441,1807,,https://www.tiktok.com/@quanthedulichpini/video/7433598646714748177,1,10.16
Cafe Dalat,cafe,1,33,1134,196,,https://www.tiktok.com/@gocnhodalat_23/video/7635584223646141714,0,10.15
Trạm Duyệt Chill,địa điểm checkin,1,39,984,717,,https://www.tiktok.com/@dalatchillguy/video/7593286507075554578,1,10.14
Quán Cafe Mây,cafe,1,29,983,254,,https://www.tiktok.com/@noir.coffee.57/video/7637896514794278165,0,10.13
Happy Hill Dalat,địa điểm checkin,1,41,841,21000,,https://www.tiktok.com/@c.long.happy.hill/video/7638055719769492743,1,10.13
The Blessed Virgin Hotel,khách sạn,1,31,748,1013,,https://www.tiktok.com/@hodotadalatnha/video/7607050820575710480,1,10.11
Si ☕🌿,cafe,1,31,616,2711,,https://www.tiktok.com/@sidalat.caphe/video/7638641386215984392,1,10.09
Xíu mại chén Đà Lạt,chợ quán,1,20,562,141,,https://www.tiktok.com/@lynio88/video/7308969069770722590,0,10.08
Dinh Nhung Rose,thiên nhiên,1,18,604,4964,,https://www.tiktok.com/@dinhnhungrose/video/7638431364689317127,1,10.08
BLUE DREAM,cafe,1,28,457,122,hơi đắt,https://www.tiktok.com/@nhamnhamnee/video/7638328243866635527,1,10.07
Khu trưng bày cổ vật Pi Ni,địa điểm checkin,1,15,373,1807,,https://www.tiktok.com/@quanthedulichpini/video/7434349282196589844,1,10.05
Biệt điện Trần Lệ Xuân,địa điểm checkin,1,6,441,738,,https://www.tiktok.com/@hazelssketches/video/7634577373265956117,1,10.05
Tiem Com Tau,chợ quán,1,8,254,4329,,https://www.tiktok.com/@laurenvacula/video/7629196342413315358,1,10.03
Tiệm bánh mì ĐÀ LẠT,chợ quán,1,12,160,58,,https://www.tiktok.com/@tiembanhmidalatld/video/7558787033959763218,1,10.03
Villa Dalat,homestay,1,3,315,1370,,https://www.tiktok.com/@360do_dalat/video/7638662396680097044,1,10.03
CAP 777,cafe,1,3,110,9,,https://www.tiktok.com/@cap777.bar/video/7637868447006723348,1,10.01
