place_name,type,mention_count,total_digg,total_plays,max_followers,price_mentions,video_urls,confidence_high,popularity_score,aliases,gmaps_name,gmaps_place_id,gmaps_address,lat,lng,gmaps_rating,gmaps_reviews_count,gmaps_price_level,gmaps_phone,gmaps_website,gmaps_status,opening_hours_text,open_time,close_time,fuzzy_score,tiktok_raw,gmaps_raw,tiktok_score_norm,gmaps_score_norm,attraction_score,open_min,close_min,visit_duration_min,include_in_route
Chợ đêm,chợ quán,1,6883,290500,102100,,https://www.tiktok.com/@callmevyvo/video/7359542199014493448,1,45.93,Chợ đêm Đà Lạt,Chợ Đêm Đà Lạt,ChIJw-dBTv8TcTERPCSnIa35zyE,"Đường Nguyễn Thị Minh Khai, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",11.9414015,108.4372912,4.2,18239,,0263 3821 586,,OPERATIONAL,Thứ Hai: 17:30–00:00 | Thứ Ba: 17:30–00:00 | Thứ Tư: 17:30–00:00 | Thứ Năm: 17:30–00:00 | Thứ Sáu: 17:30–00:00 | Thứ Bảy: 17:30–00:00 | Chủ Nhật: 17:30–00:00,17:30,00:00,100,50.93,41.21,0.0117,0.9221,0.3758,1050,1440,45,True
Mongo land,khác,1,935,60100,71100,,https://www.tiktok.com/@two_peas_abroad/video/7549937570201816342,0,16.95,,Mongo Land - Đà Lạt,ChIJ5T-k5YBtcTERonwbdDhPzUg,"Tổ 16 thôn 1, Tà Nung, Cam Ly - Đà Lạt, Lâm Đồng 670000, Việt Nam",11.9157314,108.3392217,4.5,10022,,0983 577 377,,OPERATIONAL,Thứ Hai: 07:00–17:30 | Thứ Ba: 07:00–17:30 | Thứ Tư: 07:00–17:30 | Thứ Năm: 07:00–17:30 | Thứ Sáu: 07:00–17:30 | Thứ Bảy: 07:00–17:30 | Chủ Nhật: 07:00–17:30,07:00,17:30,100,16.95,41.46,0.002,0.9277,0.3722,420,1050,45,True
Vườn thú Zoodoo,thiên nhiên,1,37,247,1560,,https://www.tiktok.com/@grinlai/video/7636632967338560775,1,10.06,,Vườn Thú ZooDoo,ChIJ2UqhWvYIcTERBsIJ4kIZl30,"QL27C, Lạc Dương, Lâm Đồng, Việt Nam",12.1120052,108.5861358,4.5,9821,2,0979 110 007,https://www.zoodoodalat.com/,OPERATIONAL,Thứ Hai: 08:00–16:00 | Thứ Ba: 08:00–16:00 | Thứ Tư: 08:00–16:00 | Thứ Năm: 08:00–16:00 | Thứ Sáu: 08:00–16:00 | Thứ Bảy: 08:00–16:00 | Chủ Nhật: 08:00–16:00,08:00,16:00,100,15.06,41.37,0.0014,0.9256,0.3711,480,960,90,True
Tiệm cà phê Dốc thị,cafe,3,4612,182540,315100,,https://www.tiktok.com/@bananzidong/video/7452307410745658632 | https://www.tiktok.com/@top.check.in.da.lat/video/7575390744442064149,3,42.62,,Tiệm cà phê Dốc Thị,ChIJ_ZegFgATcTERMADwPXflRgA,"WFPJ+R2H, Xuân Trường - Đà Lạt, Lâm Đồng, Việt Nam",11.9371818,108.4795608,4.8,4433,2,0939 602 260,https://www.tiktok.com/@tiemcaphedocthi?_t=8j7tWMwvU82&_r=1,OPERATIONAL,Thứ Hai: 06:00–19:30 | Thứ Ba: 06:00–19:30 | Thứ Tư: 06:00–19:30 | Thứ Năm: 06:00–19:30 | Thứ Sáu: 06:00–19:30 | Thứ Bảy: 06:00–19:30 | Chủ Nhật: 06:00–19:30,06:00,19:30,100,67.87,40.31,0.0165,0.9019,0.3707,360,1170,60,True
Khoai Lang Nướng,chợ quán,1,5852,258800,5685,,https://www.tiktok.com/@quanngondalat/video/7532857742118096148,1,41.73,,Khoai Lang Nướng,ChIJqSAsT99tcTERerq-EPmQDHs,"70 Pasteur, Xuân Hương - Đà Lạt, Lâm Đồng 670000, Việt Nam",11.9341879,108.426007,4.9,3174,,1900 636570,https://khoailangnuong.com/,OPERATIONAL,Thứ Hai: 16:30–23:00 | Thứ Ba: 16:30–23:00 | Thứ Tư: 16:30–23:00 | Thứ Năm: 16:30–23:00 | Thứ Sáu: 16:30–23:00 | Thứ Bảy: 16:30–23:00 | Chủ Nhật: 16:30–23:00,16:30,23:00,100,46.73,39.51,0.0105,0.8841,0.3599,990,1380,45,True
Gạch Since 1988 Cafe,cafe,1,1608,60200,555,,https://www.tiktok.com/@haannday/video/7631923500042800392,1,17.63,,Gạch Since 1988 - Signature,ChIJ-QaRRgBtcTEREo8ELt68SvE,"thôn 3, Cam Ly - Đà Lạt, Lâm Đồng, Việt Nam",11.9133535,108.3379326,4.9,3031,,0947 981 701,,OPERATIONAL,Thứ Hai: 07:00–19:00 | Thứ Ba: 07:00–19:00 | Thứ Tư: 07:00–19:00 | Thứ Năm: 07:00–19:00 | Thứ Sáu: 07:00–19:00 | Thứ Bảy: 07:00–19:00 | Chủ Nhật: 07:00–19:00,07:00,19:00,66.66666666666667,22.63,39.28,0.0036,0.879,0.3538,420,1140,60,True
Cơm niêu,chợ quán,1,70100,2700000,9135,59K,https://www.tiktok.com/@tiemcomnieunhala/video/7344170952231570708,1,350.1,,Cơm Niêu Vị Quê,ChIJIfHgAB4TcTER9KqMxKTdy5U,"35-37 Đinh Tiên Hoàng, Xuân Hương - Đà Lạt, Lâm Đồng 66109, Việt Nam",11.953686,108.4421459,4.8,945,,0817 521 981,,OPERATIONAL,Thứ Hai: 10:00–22:00 | Thứ Ba: 10:00–22:00 | Thứ Tư: 10:00–22:00 | Thứ Năm: 10:00–22:00 | Thứ Sáu: 10:00–22:00 | Thứ Bảy: 10:00–22:00 | Chủ Nhật: 10:00–22:00,10:00,22:00,84.56521739130434,355.1,32.89,0.0987,0.736,0.3536,600,1320,45,True
Quán cafe Thời Thanh Xuân,cafe,1,297,21500,23700,,https://www.tiktok.com/@traveleverywhere.vn/video/7399602885719346450,1,12.45,,Quán Của Thời Thanh Xuân,ChIJw6D__a8TcTERqUhnflvGR7s,"9 Đường Triệu Việt Vương, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",11.9308749,108.4283069,4.9,2567,1,0914 142 850,http://nhacuathoithanhxuan.com/,OPERATIONAL,Thứ Hai: 07:30–22:00 | Thứ Ba: 07:30–22:00 | Thứ Tư: 07:30–22:00 | Thứ Năm: 07:30–22:00 | Thứ Sáu: 07:30–22:00 | Thứ Bảy: 07:30–22:00 | Chủ Nhật: 07:30–22:00,07:30,22:00,93.87755102040816,17.45,38.47,0.0021,0.8608,0.3456,450,1320,60,True
Cafe Hot,cafe,3,12998,959600,100300,,https://www.tiktok.com/@yangho0910/video/7387663612401290517 | https://www.tiktok.com/@tiktokgapgiquaydo/video/7492225663596760328 | https://www.tiktok.com/@chenhvenhcoffee/video/7614896395031465234,1,104.76,,Still Cafe,ChIJawxt4R4TcTERR3yVdgtMhbI,"59 Nguyễn Trãi, Lâm Viên - Đà Lạt, Lâm Đồng 66111, Việt Nam",11.9443445,108.4543587,4.5,2973,2,0869 275 079,https://www.facebook.com/still.dalat,OPERATIONAL,Thứ Hai: 08:00–21:00 | Thứ Ba: 08:00–21:00 | Thứ Tư: 08:00–21:00 | Thứ Năm: 08:00–21:00 | Thứ Sáu: 08:00–21:00 | Thứ Bảy: 08:00–21:00 | Chủ Nhật: 08:00–21:00,08:00,21:00,66.66666666666667,143.96,35.99,0.0383,0.8053,0.3451,480,1260,60,True
Mercure Dalat Resort,khách sạn,1,184,58700,94,,https://www.tiktok.com/@datng.booking/video/7341378314323447060,1,16.05,,Mercure Dalat Resort,ChIJP6Esk3sTcTERx5XZn19lUx0,"03 Nguyễn Du, Lâm Viên - Đà Lạt, Lâm Đồng 670000, Việt Nam",11.9451708,108.4594399,4.6,4025,,0263 3810 826,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=B8H0&merchantid=seo-maps-VN-B8H0&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,OPERATIONAL,,,,100,21.05,38.18,0.0031,0.8544,0.3436,,,0,False
Lang Ben Pho Homestay,homestay,1,128000,5400000,35000,,https://www.tiktok.com/@langbenphohomestay/video/7550132232485195015,1,678.0,,Làng Bên Phố Homestay,ChIJY1eZz6dtcTER9TelXQNe_wA,"40 Xô Viết Nghệ Tĩnh, Lang Biang - Đà Lạt, Lâm Đồng 66000, Việt Nam",11.9731386,108.4271236,4.7,215,2,0905 410 486,,OPERATIONAL,Thứ Hai: 07:00–17:00 | Thứ Ba: 07:00–17:00 | Thứ Tư: 07:00–17:00 | Thứ Năm: 07:00–17:00 | Thứ Sáu: 07:00–17:00 | Thứ Bảy: 07:00–17:00 | Chủ Nhật: 07:00–18:30,07:00,18:30,85.71428571428572,683.0,25.26,0.1924,0.5653,0.3416,420,1110,0,False
The Florest,địa điểm checkin,1,57000,1300000,81400,,https://www.tiktok.com/@theflorestdalat/video/7598936749192023317,1,197.0,,The Florest Hoa Trong Rừng,ChIJEVcdXbATcTERrZHMhl3cKbM,"Thôn 4, Cam Ly - Đà Lạt, Lâm Đồng, Việt Nam",11.9039342,108.3674764,4.3,2715,,0986 757 906,http://theflorest.com.vn/,OPERATIONAL,Thứ Hai: 05:30–18:30 | Thứ Ba: 05:30–18:30 | Thứ Tư: 05:30–18:30 | Thứ Năm: 05:30–18:30 | Thứ Sáu: 05:30–18:30 | Thứ Bảy: 05:30–18:30 | Chủ Nhật: 05:30–18:30,05:30,18:30,74.45945945945945,202.0,34.0,0.0549,0.7608,0.3373,330,1110,30,True
New Light Coffee,cafe,2,58763,1852900,9934,,https://www.tiktok.com/@new_light_coffee/video/7505778560313920785 | https://www.tiktok.com/@didalatcungtruc/video/7633363595354590485,2,248.1,,New Light Coffee Đà Lạt,ChIJ-WkCxyMTcTER2OdNh4GNxZw,"3 bis Hoàng Hoa Thám, Đà Lạt, Lâm Đồng 66000, Việt Nam",11.9409927,108.4642694,4.6,1174,,0917 937 168,https://www.facebook.com/newlightcoffee10,OPERATIONAL,Thứ Hai: 00:30–22:00 | Thứ Ba: 06:30–22:00 | Thứ Tư: 06:30–22:00 | Thứ Năm: 06:30–22:00 | Thứ Sáu: 06:30–22:00 | Thứ Bảy: 06:30–22:00 | Chủ Nhật: 06:30–22:00,06:30,22:00,100,274.05,32.52,0.0755,0.7276,0.3363,390,1320,60,True
Quán lẩu cá tầm,chợ quán,1,7435,426200,789800,,https://www.tiktok.com/@nhandian/video/7580740804403039496,0,60.06,,Lẩu Cá Tầm Tuyên 2 Đà Lạt,ChIJywVWPwATcTERZ_WepiBcPO4,"Khu quy hoạch/Lô 75 Nguyễn Công Trứ, Xuân Hương - Đà Lạt, Lâm Đồng 67000, Việt Nam",11.9546144,108.4327345,4.8,1661,,0988 139 482,https://www.facebook.com/laucatamtuyendalat/,OPERATIONAL,Thứ Hai: 10:00–22:00 | Thứ Ba: 10:00–22:00 | Thứ Tư: 10:00–22:00 | Thứ Năm: 10:00–22:00 | Thứ Sáu: 10:00–22:00 | Thứ Bảy: 10:00–22:00 | Chủ Nhật: 10:00–22:00,10:00,22:00,78.78787878787878,60.06,35.6,0.0143,0.7965,0.3272,600,1320,45,True
Tiệm nướng trong rừng @Miền Du Mục,chợ quán,1,18800,585200,758200,,https://www.tiktok.com/@dieuhoang211/video/7523798698493545735,0,87.32,,tiệm nướng trong rừng,ChIJGwSJF_sTcTERFDZmNzMQVxc,"3 bis Đống Đa, Xuân Hương - Đà Lạt, Lâm Đồng 670000, Việt Nam",11.9236382,108.4445164,4.5,2394,2,0978 017 706,https://www.facebook.com/tiemnuongtrongrung,OPERATIONAL,Thứ Hai: 10:00–22:00 | Thứ Ba: 10:00–22:00 | Thứ Tư: 10:00–22:00 | Thứ Năm: 10:00–22:00 | Thứ Sáu: 10:00–22:00 | Thứ Bảy: 10:00–22:00 | Chủ Nhật: 10:00–22:00,10:00,22:00,92.77777777777779,87.32,35.02,0.0221,0.7835,0.3267,600,1320,45,True
Cà phê Vùng Ngoại Ô Đà Lạt,cafe,2,33,1048,3439,,https://www.tiktok.com/@sanmayvungngoaio/video/7638278348048698642,2,20.14,,Tiệm cà phê Vùng Ngoại Ô,ChIJSdskMAATcTERjocxJXLeAf4,"Đường Đình Đa Quý, Đá Quý, Xuân Trường - Đà Lạt, Lâm Đồng, Việt Nam",11.9299258,108.5121744,4.9,1589,,0931 400 076,https://www.facebook.com/tiemcaphevungngoaio/,OPERATIONAL,Thứ Hai: 05:00–19:00 | Thứ Ba: 05:00–19:00 | Thứ Tư: 05:00–19:00 | Thứ Năm: 05:00–19:00 | Thứ Sáu: 05:00–19:00 | Thứ Bảy: 05:00–19:00 | Chủ Nhật: 05:00–19:00,05:00,19:00,100,30.14,36.12,0.0057,0.8082,0.3267,300,1140,60,True
Quán cafe Đà Lạt,cafe,1,91400,2400000,789700,,https://www.tiktok.com/@nhandian/video/7164729843039472922,0,341.4,,Cafe Tùng,ChIJB0LfrxUTcTERHyzyimpgQlg,"6 Khu Hoà Bình, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",11.944171,108.4358881,4.4,933,2,,,OPERATIONAL,Thứ Hai: 07:00–21:30 | Thứ Ba: 07:00–21:30 | Thứ Tư: 07:00–21:30 | Thứ Năm: 07:00–21:30 | Thứ Sáu: 07:00–21:30 | Thứ Bảy: 07:00–21:30 | Chủ Nhật: 07:00–21:30,07:00,21:30,66.66666666666667,341.4,30.09,0.0948,0.6734,0.3262,420,1290,60,True
Ana Mandara Đà Lạt,khách sạn,1,981,144400,11900,,https://www.tiktok.com/@huykutis/video/7256324410284444934,1,25.42,,Ana Mandara Villas Dalat Resort & Spa,ChIJS2jADNRscTERN7cFfAWSmGs,"2 Đường Lê Lai, Cam Ly - Đà Lạt, Lâm Đồng, Việt Nam",11.944039,108.4236,4.6,2476,,0263 3555 888,http://anamandara-resort.com/,OPERATIONAL,Thứ Hai: 00:00–23:30 | Thứ Ba: 00:00–23:30 | Thứ Tư: 00:00–23:30 | Thứ Năm: 00:00–23:30 | Thứ Sáu: 00:00–23:30 | Thứ Bảy: 00:00–23:30 | Chủ Nhật: 00:00–23:30,00:00,23:30,70.0,30.42,35.95,0.0058,0.8044,0.3253,0,1410,0,False
Hồ Tuyền Lâm,thiên nhiên,1,14000,164900,7892,,https://www.tiktok.com/@rng.m963/video/7558721922368867604,1,40.49,,Hồ Tuyền Lâm,ChIJm1asQ0xrcTER3KoyuLidX4E,"Hồ Tuyền Lâm, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",11.8998298,108.4298302,4.6,2300,,,,,,,,100,45.49,35.61,0.0101,0.7968,0.3248,,,90,True
Đôi Đũa Có Cơm Niêu,quán ăn,1,1550,52700,4250,,https://www.tiktok.com/@doiduadalat/video/7503154580214091016,0,16.82,,Đôi Đũa,ChIJIb-5IywTcTERuR8T7aCBCLk,"96 Đường Phù Đổng Thiên Vương, Lâm Viên - Đà Lạt, Lâm Đồng 67000, Việt Nam",11.9613986,108.4429215,4.8,1669,,0847 969 796,https://www.facebook.com/doiduadalat,OPERATIONAL,"Thứ Hai: 10:00–15:00, 17:00–21:00 | Thứ Ba: 10:00–15:00, 17:00–21:00 | Thứ Tư: 10:00–15:00, 17:00–21:00 | Thứ Năm: 10:00–15:00, 17:00–21:00 | Thứ Sáu: 10:00–15:00, 17:00–21:00 | Thứ Bảy: 10:00–15:00, 17:00–21:00 | Chủ Nhật: 10:00–15:00, 17:00–21:00",10:00,15:00,68.84615384615384,16.82,35.62,0.0019,0.797,0.32,600,900,45,True
Hoàng Hôn,địa điểm checkin,1,18300,319900,424400,,https://www.tiktok.com/@hachireview74/video/7460073643004022034,0,60.29,,Hoàng hôn 3000,ChIJK8avtI0TcTERF7wrBIoH7sU,"37 Đường Trần Đại Nghĩa, Lâm Viên - Đà Lạt, Lâm Đồng 67000, Việt Nam",11.9719841,108.4514667,4.9,1173,2,0383 877 895,http://1phutdalat.vn/,OPERATIONAL,Thứ Hai: 10:00–23:00 | Thứ Ba: 10:00–23:00 | Thứ Tư: 10:00–23:00 | Thứ Năm: 10:00–23:00 | Thứ Sáu: 10:00–23:00 | Thứ Bảy: 10:00–23:00 | Chủ Nhật: 10:00–23:00,10:00,23:00,93.26086956521739,60.29,34.63,0.0144,0.775,0.3186,600,1380,30,True
Tiệm cơm Hồi Nớ,chợ quán,1,916,40900,9914,ngon rẻ,https://www.tiktok.com/@nghiabiu.daily/video/7617051471355350292,1,15.01,,Tiệm Cơm Hồi Nớ,ChIJF_SMu-ETcTERSqtKHhUsXow,"3B, 4 Trần Hưng Đạo, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",11.9373916,108.4473933,4.5,2419,2,0979 189 199,https://www.facebook.com/TiemComHoiNo?mibextid=ZbWKwL,OPERATIONAL,Thứ Hai: 09:30–16:00 | Thứ Ba: 09:30–16:00 | Thứ Tư: 09:30–16:00 | Thứ Năm: 09:30–16:00 | Thứ Sáu: 09:30–16:00 | Thứ Bảy: 09:30–16:00 | Chủ Nhật: 09:30–16:00,09:30,16:00,100,20.01,35.06,0.0028,0.7846,0.3155,570,960,45,True
Cafe Lời Của Gió,cafe,1,4752,580000,70600,,https://www.tiktok.com/@julepe.sheen/video/7371685175857564946,1,72.75,,Lời Của Gió,ChIJQ6xDEEsTcTER5R1Z6j_etbE,"Đường Huỳnh Tấn Phát, Xuân Trường - Đà Lạt, Lâm Đồng, Việt Nam",11.949984,108.4911826,4.2,2956,,0333 437 231,,OPERATIONAL,Thứ Hai: 06:30–22:00 | Thứ Ba: 06:30–22:00 | Thứ Tư: 06:30–22:00 | Thứ Năm: 06:30–22:00 | Thứ Sáu: 06:30–22:00 | Thứ Bảy: 06:30–22:00 | Chủ Nhật: 06:30–22:00,06:30,22:00,96.4814814814815,77.75,33.57,0.0194,0.7511,0.3121,390,1320,60,True
REO Campsite,địa điểm checkin,1,13900,400100,102900,,https://www.tiktok.com/@reodalat/video/7494138513517071624,1,63.91,,Reo Campsite - BBQ,ChIJWa7AunhrcTERYNCQ8WeWoyc,"Đ. Hoa Hồng, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",11.8898505,108.4109295,4.8,1117,,0978 871 765,,OPERATIONAL,Thứ Hai: 07:00–18:00 | Thứ Ba: 07:00–18:00 | Thứ Tư: 07:00–18:00 | Thứ Năm: 07:00–18:00 | Thứ Sáu: 07:00–18:00 | Thứ Bảy: 07:00–18:00 | Chủ Nhật: 07:00–18:00,07:00,18:00,100,68.91,33.69,0.0168,0.7539,0.3117,420,1080,30,True
Đồi Mộng Mơ,thiên nhiên,1,189,2312,1339,,https://www.tiktok.com/@sk1p3r009/video/7497089146683542830,1,10.42,,Đồi Mộng Mơ Đà Lạt,ChIJa_Qc87wScTER41LYPsXeeyM,"Số 5 Đường Mai Anh Đào, Lâm Viên - Đà Lạt, Lâm Đồng 670000, Việt Nam",11.9778728,108.445152,4.3,3085,,0263 3821 448,,OPERATIONAL,Thứ Hai: 07:30–17:30 | Thứ Ba: 07:30–17:30 | Thứ Tư: 07:30–17:30 | Thứ Năm: 07:30–17:30 | Thứ Sáu: 07:30–17:30 | Thứ Bảy: 07:30–17:30 | Chủ Nhật: 07:30–17:30,07:30,17:30,100,15.42,34.55,0.0015,0.7731,0.3102,450,1050,90,True
