place_name,type,mention_count,total_digg,total_plays,max_followers,price_mentions,video_urls,video_caption,confidence_high,popularity_score,aliases,gmaps_name,gmaps_place_id,gmaps_address,lat,lng,gmaps_rating,gmaps_reviews_count,gmaps_price_level,gmaps_phone,gmaps_website,gmaps_status,opening_hours_text,open_time,close_time,fuzzy_score
La Mer,homestay,1,55800,1600000,5015,,https://www.tiktok.com/@la.mer.home.dalat/video/7555889967071792402,"đi Đà Lạt về khuya, quá dễ với La Mer 😍😍 #fyp #xuhuong #homestaydalat #staycation #viral ",1,225.8,,La Mer Home Da Lat,ChIJg4sc0DITcTERTtMwRJUI0u4,"24-26 Nguyễn Thị Nghĩa, Xuân Hương - Đà Lạt, Lâm Đồng 66109, Việt Nam",11.9482104,108.4403609,4.8,88,,0867 524 816,,OPERATIONAL,,,,85.58823529411764
Maze Bar,cafe,1,51900,1600000,72100,,https://www.tiktok.com/@koinamang/video/7473110759875153159,Phần 2 - Maze Bar Đà Lạt 🫣 #learnontiktok #ancungtiktok #dalat #dulichdalat #koinamang #mazebar ,1,221.9,,Maze Bar,ChIJsx2AxigTcTERJJ1Fu4CmsMs,"57 Phan Bội Châu, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",11.9446386,108.4375466,4.6,1755,2,0903 040 202,https://www.facebook.com/100roof.mazebar/,OPERATIONAL,Thứ Hai: 08:00–00:00 | Thứ Ba: 08:00–00:00 | Thứ Tư: 08:00–00:00 | Thứ Năm: 08:00–00:00 | Thứ Sáu: 08:00–00:00 | Thứ Bảy: 08:00–00:00 | Chủ Nhật: 08:00–00:00,08:00,00:00,100
Chân gà quái thú Đà Lạt,cafe,1,56800,1500000,71300,,https://www.tiktok.com/@sieuanvat25/video/7239287781401398533,Chân gà quái thú Đà Lạt - quán ngon của dân địa phương #xuhuong #sieuanvat #HômNayĂnGì #đàlạt #dalatreview #dalatfood #changa #changaquaithu #chângà #dalatangingon #reviewfood #AnCungTikTok #vrstudio #AnCungTikTok #hômnayăngì #foodreview #quánngon,1,216.8,,Quán nhậu Huyền Diệu ( Chân Gà Quái Thú ),ChIJV0h-vtJscTER0FDG3Uf2s74,"16b Đường Hoàng Văn Thụ, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",11.9399205,108.4261972,4.2,241,,0397 604 601,,OPERATIONAL,Thứ Hai: 09:00–23:00 | Thứ Ba: 09:00–23:00 | Thứ Tư: 09:00–23:00 | Thứ Năm: 09:00–23:30 | Thứ Sáu: 09:00–23:30 | Thứ Bảy: 09:00–23:30 | Chủ Nhật: 09:00–23:30,09:00,23:30,75.37735849056604
Hidden Land Dalat,địa điểm checkin,1,65400,969400,8394,,https://www.tiktok.com/@hiddenland.dalat/video/7580344517484662024,"Cánh đồng lúa đang chuyển vàng rồi bạn ơi 🌾✨
📍Hidden Land Dalat
#dalat #caphedalat #xuhuong #capheviewdep #hiddenlanddalat ",1,172.34,,Hidden Land Đà Lạt,ChIJyfncbz8TcTERCz0qYUJOdbw,"Đường Lâm Văn Thạnh, Xuân Trường - Đà Lạt, Lâm Đồng 67000, Việt Nam",11.9293672,108.484794,4.7,335,,0921 297 299,,OPERATIONAL,Thứ Hai: 07:30–18:30 | Thứ Ba: 07:30–18:30 | Thứ Tư: 07:30–18:30 | Thứ Năm: 07:30–18:30 | Thứ Sáu: 07:30–18:30 | Thứ Bảy: 07:30–18:30 | Chủ Nhật: 07:30–18:30,07:30,18:30,100
Sân Mây Đà Lạt,địa điểm checkin,2,29400,1075600,109000,,https://www.tiktok.com/@kacosmetic95/video/7387748570369232146,"⛅️ Đây là điểm Săn Mây mà mình thấy đẹp nhất tại Đà Lạt , mùa này săn mây đúng bài luôn rồi 🥰 #buikieuanh #kacosmetic #dalat #sanmay #vlogs ",2,156.96,Cafe săn mây,Sân Mây Homestay Đà Lạt,ChIJrfG9tj4TcTER9rVJnbXvq9E,"56 Hoàng Hoa Thám, Xuân Hương - Đà Lạt, Lâm Đồng 66000, Việt Nam",11.9353322,108.4640877,4.7,108,,0966 235 972,https://www.facebook.com/sanmayhomestay?mibextid=ZbWKwL,OPERATIONAL,Thứ Hai: Mở cửa cả ngày | Thứ Ba: Mở cửa cả ngày | Thứ Tư: Mở cửa cả ngày | Thứ Năm: Mở cửa cả ngày | Thứ Sáu: Mở cửa cả ngày | Thứ Bảy: Mở cửa cả ngày | Chủ Nhật: Mở cửa cả ngày,00:00,,75.86956521739131
Thác mây,địa điểm checkin,1,22900,1100000,26800,,https://www.tiktok.com/@thacmay/video/7550279164360690962,"Cả nhà nôn hông nè? ❤️❤️❤️ Hẹn nhà mình vào ngày 23/09/2025 này nhé 🥰

🌲 Thác mây & chill 🌲
🏠: Dốc số 9, Trại Mát, Đà Lạt

#Thacmay #Thacmaydalat #TiemcapheThacmay #Thacmaycaphe #Quancaphe #Dalat #Tiemcaphe #Yenbinh #Chualanh ",1,142.9,,Thác mây & chill,ChIJi2rtKWwTcTERh0GfYiMke80,"Dốc số 9, Trại Mát, Xuân Trường - Đà Lạt, Lâm Đồng 66000, Việt Nam",11.9390111,108.5077653,4.8,495,,0989 795 479,,OPERATIONAL,Thứ Hai: 05:00–19:00 | Thứ Ba: 05:00–19:00 | Thứ Tư: 05:00–19:00 | Thứ Năm: 05:00–19:00 | Thứ Sáu: 05:00–19:00 | Thứ Bảy: 05:00–19:00 | Chủ Nhật: 05:00–19:00,05:00,19:00,87.72727272727273
Cafe mới,cafe,1,32600,1000000,51900,,https://www.tiktok.com/@bolonton_/video/7461468993396706567,"Vượt 275km từ Thủ Đức lên Đà Lạt chỉ để tận hưởng không gian cafe mới với không khí se lạnh iu thíchhh 🤎🍂 
#bolonton #cafe #dalat #chuyencuamo #cafedalat #xh #fyp #reviewcafe ",0,142.6,,Still Cafe,ChIJawxt4R4TcTERR3yVdgtMhbI,"59 Nguyễn Trãi, Lâm Viên - Đà Lạt, Lâm Đồng 66111, Việt Nam",11.9443445,108.4543587,4.5,2965,2,0869 275 079,https://www.facebook.com/still.dalat,OPERATIONAL,Thứ Hai: 08:00–21:00 | Thứ Ba: 08:00–21:00 | Thứ Tư: 08:00–21:00 | Thứ Năm: 08:00–21:00 | Thứ Sáu: 08:00–21:00 | Thứ Bảy: 08:00–21:00 | Chủ Nhật: 08:00–21:00,08:00,21:00,66.66666666666667
S-Chill Home Đà Lạt,homestay,1,15200,1100000,140300,,https://www.tiktok.com/@minhmoonha/video/7394486242219478279,"Homestay Đà Lạt có Bồn Tắm View xịn xò sống ảo, tối chill xem phim nữa nha 🔥🔥🔥 S-Chill Home Đà Lạt #mcv #haminhmoon #dalatreview #homestaydalat #homestayviewdep #dalathomestay #view #reviewhomestay #bontam #dalat #tiktokcommunityvn #monngondalat ",1,135.2,,S-Chill Home,ChIJ_cnvegxtcTER-0xPIFKGGj4,"Vạn Thành, Cam Ly - Đà Lạt, Lâm Đồng, Việt Nam",11.9457723,108.4135474,4,149,,0932 014 007,https://www.facebook.com/schillhome,OPERATIONAL,,,,100
Ivy Coffee Farm,homestay,2,27334,860800,263200,£7 per person,https://www.tiktok.com/@thejammygits/video/7477578613265632534,"Would you pay to stay here? It’s only £7 per person!🤯 

📍ivy coffee farm - cabin house Da Lat Vietnam🇻🇳 

#vietnamtravel #travelvlogs #dalattrip #roomtour ",1,133.41,Cà phê ngắm hoàng hôn,Ivy Coffee Farm,ChIJ60l9CaBBcTERop3FBWTnxlQ,"Unnamed, Road, Hiệp Thạnh, Lâm Đồng, Việt Nam",11.7705219,108.3833161,4.9,153,,0907 002 293,https://www.facebook.com/coffeeroasters.IVY,OPERATIONAL,Thứ Hai: Mở cửa cả ngày | Thứ Ba: Mở cửa cả ngày | Thứ Tư: Mở cửa cả ngày | Thứ Năm: Mở cửa cả ngày | Thứ Sáu: Mở cửa cả ngày | Thứ Bảy: Mở cửa cả ngày | Chủ Nhật: Mở cửa cả ngày,00:00,,100
Nướng,chợ quán,3,9597,758400,2400000,,https://www.tiktok.com/@gowith_we/video/7447126428484685074,Một điểm đến mình rất ưng khi đi ăn nướng ở Đà Lạt là Mộc Quán BBQ nha #travel #traveltiktok #dulichvietnam #travelvietnam #dalat #reviewdalat ,2,115.44,Tiệm nướng Trạm Dừng Chill | Mộc Quán BBQ | Quán nướng,OM Nướng - Đà Lạt,ChIJ54CWzR4TcTERQ7d7zVOBQrI,"28 Trần Hưng Đạo, Xuân Hương - Đà Lạt, Lâm Đồng 670000, Việt Nam",11.9396338,108.4575896,4.8,974,,1900 255869,https://omnuong.vn/,OPERATIONAL,"Thứ Hai: 11:00–14:00, 16:30–23:45 | Thứ Ba: 11:00–14:00, 16:30–23:45 | Thứ Tư: 11:00–14:00, 16:30–23:45 | Thứ Năm: 11:00–14:00, 16:30–23:45 | Thứ Sáu: 11:00–14:00, 16:30–23:45 | Thứ Bảy: 11:00–14:00, 16:30–23:45 | Chủ Nhật: 11:00–14:00, 16:30–23:45",11:00,14:00,91.92307692307692
Thênh Thang,cafe,1,27200,695100,216200,,https://www.tiktok.com/@tiemcaphenhabenrung/video/7509087907039218951,"Buổi sáng sớm ở Thênh Thang như lạc vào cổ tích..
#dalat #reviewdalat #thenhthang #tiemcaphethengthang #cafethenhthang #thenhthangcoffee #caphethenhthang #caphedalat #QuánCafeViewĐẹp #chill #binhyen #binhminh #caphedep ",1,106.71,,Tiệm cà phê Thênh Thang,ChIJH0wzPyoTcTER-aHhB2ocgy0,"hem xe Ford ô tô, 108 Đ. Hùng Vương, Tổ Tây Hồ 2, Xuân Trường - Đà Lạt, Lâm Đồng 66000, Việt Nam",11.936993,108.4791359,4.9,1069,,0328 857 727,https://www.facebook.com/thenhthangcafe/,OPERATIONAL,Thứ Hai: 06:00–20:00 | Thứ Ba: 06:00–20:00 | Thứ Tư: 06:00–20:00 | Thứ Năm: 06:00–20:00 | Thứ Sáu: 06:00–20:00 | Thứ Bảy: 06:00–20:00 | Chủ Nhật: 06:00–20:00,06:00,20:00,79.70588235294117
Quán cafe Cô Long,cafe,1,15200,756700,443900,110 k,https://www.tiktok.com/@bossnews.official/video/7628542421235666196,"Kiếm tiền gặp kiếm chuyện: Quán cafe Cô Long trên Đà Lạt bất ngờ bị nam du khách bóc phốt khinh người, bán 110 k cho một ly nước nhưng khách gọi thì làm lơ. CĐM đang nghi ngờ khách hàng này do quán bên cạnh thuê tới để phá quán #cafedalat #dalat #colongdalat #trending #bossnews ",1,100.87,,Cafe Long Hoa,ChIJJ7COzcMScTERIm0yWTtV9BY,"59 Vạn Hạnh, Lâm Viên - Đà Lạt, Lâm Đồng, Việt Nam",11.9641656,108.4481011,4.7,91,,0263 3553 685,,OPERATIONAL,Thứ Hai: Mở cửa cả ngày | Thứ Ba: Mở cửa cả ngày | Thứ Tư: Mở cửa cả ngày | Thứ Năm: Mở cửa cả ngày | Thứ Sáu: Mở cửa cả ngày | Thứ Bảy: Mở cửa cả ngày | Chủ Nhật: Mở cửa cả ngày,00:00,,66.66666666666667
Bánh canh cua Luxury,chợ quán,1,13000,717000,177300,,https://www.tiktok.com/@kuti20297/video/7463821415771278610,Bánh canh cua Luxury ngon nhất Đà Lạt ✨ #banhcanh #food #dalat #banhcanhcua #minhlakuti #diadiemanuong ,1,94.7,,Bánh Canh Cua Luxury Đà Lạt,ChIJjWfSoh0TcTERpCcYpm_0fCs,"Lô 1A Khu Quy Hoạch Hoàng Văn Thụ, Xuân Hương - Đà Lạt, Lâm Đồng 66115, Việt Nam",11.9378906,108.4291785,4.4,356,,0966 522 955,,OPERATIONAL,Thứ Hai: 06:30–21:00 | Thứ Ba: 06:30–21:00 | Thứ Tư: 06:30–21:00 | Thứ Năm: 06:30–21:00 | Thứ Sáu: 06:30–21:00 | Thứ Bảy: 06:30–21:00 | Chủ Nhật: 06:30–21:00,06:30,21:00,100
Vị Nhà,quán com,2,25155,481700,638,,https://www.tiktok.com/@vinhatiemcomdalat/video/7637004051611127047,"Người ta đi Đà Lạt để chill, còn mình ghé Vị Nhà để...ăn cơm như ở nhà. Đơn giản thôi, nhưng lại thấy dễ chịu đến lạ. 
#tiemcomvinha #comtruadalat #quancomdalat #dalat ",2,93.33,,Tiệm Cơm Vị Nhà - Đà Lạt,ChIJdSTvEaFtcTER6QyexjqIpaw,"87 Đường Tô Hiến Thành, Xuân Hương - Đà Lạt, Lâm Đồng 66000, Việt Nam",11.9284242,108.4432594,4.8,19,,0918 634 961,,OPERATIONAL,Thứ Hai: 06:00–16:00 | Thứ Ba: 06:00–16:00 | Thứ Tư: 06:00–16:00 | Thứ Năm: 06:00–16:00 | Thứ Sáu: 06:00–16:00 | Thứ Bảy: 06:00–16:00 | Chủ Nhật: 06:00–16:00,06:00,16:00,72.14285714285714
Quán Nguyễn Gia,cafe,1,12200,685300,5678,,https://www.tiktok.com/@quanngondalat/video/7417303437462768904,"📍Phở gà trộn, miến gà trộn Đà Lạt quán Nguyễn Gia 
———
Hợp khẩu vị quá chừng hà, vị sẽ thiên về trong miền Nam 1 xíu nha!
#quanngondalat #dalat #reviewdalat #dalatreview #xuhuong #photron #miengtron #miengatron #phogatron #anngon #dalattrip #dalatfood ",1,90.73,,Phở Nguyễn Gia,ChIJt6jBUr8TcTERf-L4UKgWOak,"33 Ngô Quyền, Cam Ly - Đà Lạt, Lâm Đồng 670000, Việt Nam",11.951338,108.4300999,4.1,446,,0393 037 864,,OPERATIONAL,"Thứ Hai: 06:00–13:30, 16:00–20:00 | Thứ Ba: 06:00–13:30, 16:00–20:00 | Thứ Tư: 06:00–13:30, 16:00–20:00 | Thứ Năm: 06:00–13:30, 16:00–20:00 | Thứ Sáu: 06:00–13:30, 16:00–20:00 | Thứ Bảy: 06:00–13:30, 16:00–20:00 | Chủ Nhật: 06:00–13:30, 16:00–20:00",06:00,13:30,75.86206896551724
Bún bò Huế Thiên Trang,chợ quán,1,16900,625700,161000,,https://www.tiktok.com/@mr.cunghe/video/7129358708542393627,BÚN BÒ HUẾ THIÊN TRANG 2 - 28 Hô Tùng Mậu - Đà Lat#xuhuongtiktok2022 #trainghiemamthuc #thanhphonganhoa #amthucdalat #khamphadalat,1,89.47,,Bún Bò Huế Thiên Trang 2,ChIJo-8FoTwTcTERW5ACYZGj9sg,"2b Hồ Tùng Mậu, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",11.9364783,108.4457553,3.6,3246,,0263 3812 626,,OPERATIONAL,Thứ Hai: 06:00–16:00 | Thứ Ba: 06:00–16:00 | Thứ Tư: 06:00–16:00 | Thứ Năm: 06:00–16:00 | Thứ Sáu: 06:00–16:00 | Thứ Bảy: 06:00–16:00 | Chủ Nhật: 06:00–16:00,06:00,16:00,100
chợ mới Đà Lạt,chợ quán,1,21500,538200,207600,,https://www.tiktok.com/@didalatcungtruc/video/7606909036549688597,Ăn vặt khoai siêu dài và kem siêu sầu ở khu chợ mới Đà Lạt #anvatdalat #didalatcungtruc #isbtalents #reviewdalat #dalatreview ,1,85.32,,Chợ Mới Đà Lạt,ChIJz_bctigTcTERqSmbkab208Y,"Phan Bội Châu, Chợ mới center tần 2, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",11.9440837,108.4380385,4.1,259,,,http://vikingfashion.vn/,OPERATIONAL,Thứ Hai: Mở cửa cả ngày | Thứ Ba: Mở cửa cả ngày | Thứ Tư: Mở cửa cả ngày | Thứ Năm: Mở cửa cả ngày | Thứ Sáu: Mở cửa cả ngày | Thứ Bảy: Mở cửa cả ngày | Chủ Nhật: Mở cửa cả ngày,00:00,,100
Chợ Đà Lạt,địa điểm checkin,2,10030,416000,212100,,https://www.tiktok.com/@sino4994/video/7632278494461873429,Phô mai nướng chợ Đà Lạt #thimucbang #mukbang #phomainuong #chodalat #anvat ,2,71.63,,Chợ đà lạt,ChIJERJoQwATcTERR_bBPr8wkUY,"chợ Đà Lạt, 24 Đường Nguyễn Thị Minh Khai, Xuân Hương - Đà Lạt, Lâm Đồng 02633, Việt Nam",11.9430226,108.4368778,4.5,1426,,,,OPERATIONAL,,,,100
De Ma’at Villa,homestay,1,12700,487000,33700,,https://www.tiktok.com/@nhatzzii/video/7360962928993914130,"📍De Ma’at Villa - Đà Lạt

Khu villa này gồm 3 căn theo 3 concept, căn của mình tên Vintage . Một căn nhà tone ấm tràn ngập ánh nắng tự nhiên, bao phủ xung quanh là bìa rừng xanh ngời, cả ngày gió đìu hiu chim hót líu lo nó chill dữ luôn 🥲

#dalat #travel #checkinvietnam #photoshoot #dalatcoffee #coffee #cafe #trip #dalathomestay #dalatreview #fyp #xh #xuhuong #viral #dalattrip #workshop #demaatvilladalat ",1,71.4,,De Ma’at Villa Đà Lạt,ChIJZ2CVADATcTERuMzThZ0MO2s,"5/5, Khe Sanh, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",11.936798,108.4593758,4.1,21,,0911 944 911,https://www.facebook.com/demaatVilla,OPERATIONAL,Thứ Hai: Mở cửa cả ngày | Thứ Ba: Mở cửa cả ngày | Thứ Tư: Mở cửa cả ngày | Thứ Năm: Mở cửa cả ngày | Thứ Sáu: Mở cửa cả ngày | Thứ Bảy: Mở cửa cả ngày | Chủ Nhật: Mở cửa cả ngày,00:00,,100
Làng Khét Đà Lạt,địa điểm checkin,1,14800,463200,6672,,https://www.tiktok.com/@tiemnuonglangkhet/video/7621847267602894098,"Cám ơn những review của Thu Nhi eat clean 😃 

Một buổi chiều rực rỡ hoàng hôn. Quán mình nằm trên 1 ngọn đồi ôm trọn 4 tầng lầu nên bao quát hết view thung lũng

Làng Khét Đà Lạt đẹp nhất từ 16:00 chiều trở đi, bạn có thể tới sớm hơn một chút, nhâm nhi miếng bò nướng mềm mọng thơm ngon bên bếp than hồng rực lửa và đợi mặt trời dần buông xuống

Trong clip Thu Nhi eat clean tới hơi muộn, lúc 17:30 nên hoàng hôn chỉ còn 5p là lặn. Thiệt là tiếc luôn 😢

Làng khét biết là Đà Lạt đẹp nhất là hoàng hôn, và mong mãi trở thành một trong những điểm đón hoàng hôn yêu thích tại Đà Lạt 
#langkhetdalat #hoanghondalat #dalatdonhoanghonodau #donuongviewhoanghondalat",1,71.12,,Làng Khét Đà Lạt,ChIJSx6D_FATcTERmR98pQAGRV8,"27 Huỳnh Tấn Phát, Đà Lạt, Lâm Đồng 66000, Việt Nam",11.9534012,108.4914891,4.5,1328,2,0855 330 330,,OPERATIONAL,Thứ Hai: 16:30–22:00 | Thứ Ba: 16:30–22:00 | Thứ Tư: 16:30–22:00 | Thứ Năm: 16:30–22:00 | Thứ Sáu: 16:30–22:00 | Thứ Bảy: 16:30–22:00 | Chủ Nhật: 16:30–22:00,16:30,22:00,100
1/2 Circle Coffee,cafe,1,5520,536300,76700,,https://www.tiktok.com/@duocroidithoi.sg/video/7387617478555258120,"Cafe tone đen style Thái Lan lên hình cực ấn tượng. Quán 1/2 Circle Coffee✨

#duocroidithoisg #cafedalat #cafe #cafesongao #dalat #xuhuong #cafetiktok ",1,69.15,,1/2 Circle Coffee,ChIJk0kQJgATcTER5HQJIYAPqBw,"Hẻm 4 Đường Đặng Thái Thân, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",11.924712,108.4534609,4.5,511,,0907 232 279,,OPERATIONAL,Thứ Hai: 07:30–18:00 | Thứ Ba: 07:30–18:00 | Thứ Tư: 07:30–18:00 | Thứ Năm: 07:30–18:00 | Thứ Sáu: 07:30–18:00 | Thứ Bảy: 07:30–18:00 | Chủ Nhật: 07:30–18:00,07:30,18:00,100
