place_name,type,mention_count,total_digg,total_plays,max_followers,price_mentions,video_urls,video_caption,confidence_high,popularity_score,aliases,gmaps_name,gmaps_place_id,gmaps_address,lat,lng,gmaps_rating,gmaps_reviews_count,gmaps_price_level,gmaps_phone,gmaps_website,gmaps_status,opening_hours_text,open_time,close_time,fuzzy_score,tiktok_raw,gmaps_raw,tiktok_score_norm,gmaps_score_norm,attraction_score,open_min,close_min,visit_duration_min,include_in_route
Hidden Land Dalat,địa điểm checkin,2,65669,976070,8394,,https://www.tiktok.com/@hiddenland.dalat/video/7580344517484662024 | https://www.tiktok.com/@alvinodalat/video/7604836931930705160,"Cánh đồng lúa đang chuyển vàng rồi bạn ơi 🌾✨
📍Hidden Land Dalat
#dalat #caphedalat #xuhuong #capheviewdep #hiddenlanddalat ",2,172.34,,Hidden Land Đà Lạt,ChIJyfncbz8TcTERCz0qYUJOdbw,"Đường Lâm Văn Thạnh, Xuân Trường - Đà Lạt, Lâm Đồng 67000, Việt Nam",11.9293672,108.484794,4.7,335,,0921 297 299,,OPERATIONAL,Thứ Hai: 07:30–18:30 | Thứ Ba: 07:30–18:30 | Thứ Tư: 07:30–18:30 | Thứ Năm: 07:30–18:30 | Thứ Sáu: 07:30–18:30 | Thứ Bảy: 07:30–18:30 | Chủ Nhật: 07:30–18:30,07:30,18:30,100,193.28,27.34,0.2886,0.6118,0.4179,450,1110,30,True
Lạc Hư Cổ Trấn,địa điểm checkin,1,40900,1800000,123300,,https://www.tiktok.com/@tiktokgapgiquaydo/video/7607409661502967058,"Một địa điểm mới tại Đà Lạt khai trương ngày mùng 1 tết này các bạn ơi.
📍 Lạc Hư Cổ Trấn 
##dalatreviewtravel##latnoitravel##lachucotran",1,230.9,,Lạc Hư Cổ Trấn,ChIJo_sBJQATcTERA82qQAZoApM,"Đường Lâm Văn Thạnh, Đà Lạt, Lâm Đồng, Việt Nam",11.9404232,108.485043,4.1,213,,0886 843 460,,OPERATIONAL,Thứ Hai: 05:00–21:00 | Thứ Ba: 05:00–21:00 | Thứ Tư: 05:00–21:00 | Thứ Năm: 05:00–21:00 | Thứ Sáu: 05:00–21:00 | Thứ Bảy: 05:00–21:00 | Chủ Nhật: 05:00–21:00,05:00,21:00,100,235.9,22.0,0.3562,0.4923,0.4106,300,1260,30,True
Chân gà quái thú Đà Lạt,cafe,1,56800,1500000,71300,,https://www.tiktok.com/@sieuanvat25/video/7239287781401398533,Chân gà quái thú Đà Lạt - quán ngon của dân địa phương #xuhuong #sieuanvat #HômNayĂnGì #đàlạt #dalatreview #dalatfood #changa #changaquaithu #chângà #dalatangingon #reviewfood #AnCungTikTok #vrstudio #AnCungTikTok #hômnayăngì #foodreview #quánngon,1,216.8,,Quán nhậu Huyền Diệu ( Chân Gà Quái Thú ),ChIJV0h-vtJscTER0FDG3Uf2s74,"16b Đường Hoàng Văn Thụ, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",11.9399205,108.4261972,4.2,241,,0397 604 601,,OPERATIONAL,Thứ Hai: 09:00–23:00 | Thứ Ba: 09:00–23:00 | Thứ Tư: 09:00–23:00 | Thứ Năm: 09:00–23:30 | Thứ Sáu: 09:00–23:30 | Thứ Bảy: 09:00–23:30 | Chủ Nhật: 09:00–23:30,09:00,23:30,75.37735849056604,221.8,23.05,0.3338,0.5158,0.4066,540,1410,60,True
Chợ đêm, chợ quán,1,6883,290500,102000,,https://www.tiktok.com/@callmevyvo/video/7359542199014493448,Ăn vặt độc lạ Đà Lạt với món đậu hủ lắc khói ngay chợ đêm Đà Lạt 😗🍡🍢 #callmevyvo #vyvoreview #dalat #reviewanngon #ancungtiktok #anvatdalat ,1,45.93,chợ đêm Đà Lạt,Chợ Đêm Đà Lạt,ChIJw-dBTv8TcTERPCSnIa35zyE,"Đường Nguyễn Thị Minh Khai, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",11.9414015,108.4372912,4.2,18260,,0263 3821 586,,OPERATIONAL,Thứ Hai: 17:30–00:00 | Thứ Ba: 17:30–00:00 | Thứ Tư: 17:30–00:00 | Thứ Năm: 17:30–00:00 | Thứ Sáu: 17:30–00:00 | Thứ Bảy: 17:30–00:00 | Chủ Nhật: 17:30–00:00,17:30,00:00,100,50.93,41.21,0.0628,0.9222,0.4066,1050,1440,45,True
Nướng,chợ quán,3,9597,758400,2400000,,https://www.tiktok.com/@gowith_we/video/7447126428484685074,Một điểm đến mình rất ưng khi đi ăn nướng ở Đà Lạt là Mộc Quán BBQ nha #travel #traveltiktok #dulichvietnam #travelvietnam #dalat #reviewdalat ,2,115.44,Tiệm nướng Trạm Dừng Chill | Mộc Quán BBQ | Quán nướng,OM Nướng - Đà Lạt,ChIJ54CWzR4TcTERQ7d7zVOBQrI,"28 Trần Hưng Đạo, Xuân Hương - Đà Lạt, Lâm Đồng 670000, Việt Nam",11.9396338,108.4575896,4.8,974,,1900 255869,https://omnuong.vn/,OPERATIONAL,"Thứ Hai: 11:00–14:00, 16:30–23:45 | Thứ Ba: 11:00–14:00, 16:30–23:45 | Thứ Tư: 11:00–14:00, 16:30–23:45 | Thứ Năm: 11:00–14:00, 16:30–23:45 | Thứ Sáu: 11:00–14:00, 16:30–23:45 | Thứ Bảy: 11:00–14:00, 16:30–23:45 | Chủ Nhật: 11:00–14:00, 16:30–23:45",11:00,14:00,91.92307692307692,125.44,33.04,0.181,0.7392,0.4043,660,840,45,True
La Mer,homestay,1,55800,1600000,5015,,https://www.tiktok.com/@la.mer.home.dalat/video/7555889967071792402,"đi Đà Lạt về khuya, quá dễ với La Mer 😍😍 #fyp #xuhuong #homestaydalat #staycation #viral ",1,225.8,,La Mer Home Da Lat,ChIJg4sc0DITcTERTtMwRJUI0u4,"24-26 Nguyễn Thị Nghĩa, Xuân Hương - Đà Lạt, Lâm Đồng 66109, Việt Nam",11.9482104,108.4403609,4.8,88,,0867 524 816,,OPERATIONAL,,,,85.58823529411764,230.8,21.55,0.3481,0.4821,0.4017,,,0,False
Thênh Thang,cafe,1,27200,695100,216200,,https://www.tiktok.com/@tiemcaphenhabenrung/video/7509087907039218951,"Buổi sáng sớm ở Thênh Thang như lạc vào cổ tích..
#dalat #reviewdalat #thenhthang #tiemcaphethengthang #cafethenhthang #thenhthangcoffee #caphethenhthang #caphedalat #QuánCafeViewĐẹp #chill #binhyen #binhminh #caphedep ",1,106.71,,Tiệm cà phê Thênh Thang,ChIJH0wzPyoTcTER-aHhB2ocgy0,"hem xe Ford ô tô, 108 Đ. Hùng Vương, Tổ Tây Hồ 2, Xuân Trường - Đà Lạt, Lâm Đồng 66000, Việt Nam",11.936993,108.4791359,4.9,1069,,0328 857 727,https://www.facebook.com/thenhthangcafe/,OPERATIONAL,Thứ Hai: 06:00–20:00 | Thứ Ba: 06:00–20:00 | Thứ Tư: 06:00–20:00 | Thứ Năm: 06:00–20:00 | Thứ Sáu: 06:00–20:00 | Thứ Bảy: 06:00–20:00 | Chủ Nhật: 06:00–20:00,06:00,20:00,79.70588235294117,111.71,34.18,0.1592,0.7648,0.4014,360,1200,60,True
Thác mây,địa điểm checkin,1,22900,1100000,26800,,https://www.tiktok.com/@thacmay/video/7550279164360690962,"Cả nhà nôn hông nè? ❤️❤️❤️ Hẹn nhà mình vào ngày 23/09/2025 này nhé 🥰

🌲 Thác mây & chill 🌲
🏠: Dốc số 9, Trại Mát, Đà Lạt

#Thacmay #Thacmaydalat #TiemcapheThacmay #Thacmaycaphe #Quancaphe #Dalat #Tiemcaphe #Yenbinh #Chualanh ",1,142.9,,Thác mây & chill,ChIJi2rtKWwTcTERh0GfYiMke80,"Dốc số 9, Trại Mát, Xuân Trường - Đà Lạt, Lâm Đồng 66000, Việt Nam",11.9390111,108.5077653,4.8,495,,0989 795 479,,OPERATIONAL,Thứ Hai: 05:00–19:00 | Thứ Ba: 05:00–19:00 | Thứ Tư: 05:00–19:00 | Thứ Năm: 05:00–19:00 | Thứ Sáu: 05:00–19:00 | Thứ Bảy: 05:00–19:00 | Chủ Nhật: 05:00–19:00,05:00,19:00,87.72727272727273,147.9,29.79,0.2166,0.6666,0.3966,300,1140,30,True
Chợ Đà Lạt,địa điểm checkin,3,13626,548100,212100,,https://www.tiktok.com/@sino4994/video/7632278494461873429 | https://www.tiktok.com/@chang.trang91/video/7597736208403270933,Phô mai nướng chợ Đà Lạt #thimucbang #mukbang #phomainuong #chodalat #anvat ,3,71.63,,Chợ đà lạt,ChIJERJoQwATcTERR_bBPr8wkUY,"chợ Đà Lạt, 24 Đường Nguyễn Thị Minh Khai, Xuân Hương - Đà Lạt, Lâm Đồng 02633, Việt Nam",11.9430226,108.4368778,4.5,1426,,,,OPERATIONAL,,,,100,113.44,32.68,0.162,0.7313,0.3897,,,30,True
Tiệm cafe của thanh xuân,cafe,2,2548,85200,208200,,https://www.tiktok.com/@heuupham95/video/7409930280238124295 | https://www.tiktok.com/@traveleverywhere.vn/video/7399602885719346450,"Tiệm cafe của thanh xuân 2024 
#travel #food #cafe #review #heuuulatui #dalat #learnontiktok #xuhuong #dqn ",2,18.62,,Quán Của Thời Thanh Xuân,ChIJw6D__a8TcTERqUhnflvGR7s,"9 Đường Triệu Việt Vương, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",11.9308749,108.4283069,4.9,2574,1,0914 142 850,http://nhacuathoithanhxuan.com/,OPERATIONAL,Thứ Hai: 07:30–22:00 | Thứ Ba: 07:30–22:00 | Thứ Tư: 07:30–22:00 | Thứ Năm: 07:30–22:00 | Thứ Sáu: 07:30–22:00 | Thứ Bảy: 07:30–22:00 | Chủ Nhật: 07:30–22:00,07:30,22:00,70.83333333333333,41.07,38.48,0.0472,0.8611,0.3727,450,1320,60,True
Hoàng Hôn,địa điểm checkin,1,18300,319900,424400,,https://www.tiktok.com/@hachireview74/video/7460073643004022034,"Lại thêm một tọa độ check-in ở Đà Lạt nè mọi người, hoàng hôn đẹp mê 🥰🥰 ##mountainchill##mountainchilldalat##cafedalat#cafiewdalat ##hoanghon##dalatreview##dalatstory##dalat  ",1,60.29,,Hoàng hôn 3000,ChIJK8avtI0TcTERF7wrBIoH7sU,"37 Đường Trần Đại Nghĩa, Lâm Viên - Đà Lạt, Lâm Đồng 67000, Việt Nam",11.9719841,108.4514667,4.9,1194,2,0383 877 895,http://1phutdalat.vn/,OPERATIONAL,Thứ Hai: 10:00–23:00 | Thứ Ba: 10:00–23:00 | Thứ Tư: 10:00–23:00 | Thứ Năm: 10:00–23:00 | Thứ Sáu: 10:00–23:00 | Thứ Bảy: 10:00–23:00 | Chủ Nhật: 10:00–23:00,10:00,23:00,93.26086956521739,65.29,34.72,0.0856,0.7769,0.3621,600,1380,30,True
Terracotta Hotel & Resort Dalat,khách sạn,1,1140,213500,13400,,https://www.tiktok.com/@resortdalat/video/7337975832725425410,"Team mê sống ảo không thể bỏ lỡ Terracotta Hotel & Resort Dalat. Mang vẻ đẹp thiên nhiên với rừng thông bao phủ nằm cạnh bờ hồ Tuyền Lâm đầy thơ mộng
———
Liên hệ Hoa Đà Lạt Travel nhận ưu đãi!
———
#dalat #dalatreview #dalattrip #khachsandalat #khachsan4sao #terracotta #terracottaresort #review #reviewdalat #resortdalat #travel #traveltips #khachsandalat #dulichdalat #xuhuong #xuhuongtiktok #viral ",1,32.49,,Terracotta Hotel & Resort Dalat,ChIJxwYY4q8UcTERt31w04QnILo,"Phân khu chức năng 7.9 KDL hồ Tuyền Lâm, Xuân Hương - Đà Lạt, Lâm Đồng 670000, Việt Nam",11.8948927,108.4380538,4.4,4458,,0263 3883 838,https://dalat.terracottaresort.com/,OPERATIONAL,Thứ Hai: 00:00–12:00 | Thứ Ba: 00:00–12:00 | Thứ Tư: 00:00–12:00 | Thứ Năm: 00:00–12:00 | Thứ Sáu: 00:00–12:00 | Thứ Bảy: 00:00–12:00 | Chủ Nhật: 00:00–12:00,00:00,12:00,100,37.49,36.97,0.0415,0.8273,0.3558,0,720,0,False
Làng Khét Đà Lạt,địa điểm checkin,1,14800,463200,6672,,https://www.tiktok.com/@tiemnuonglangkhet/video/7621847267602894098,"Cám ơn những review của Thu Nhi eat clean 😃 

Một buổi chiều rực rỡ hoàng hôn. Quán mình nằm trên 1 ngọn đồi ôm trọn 4 tầng lầu nên bao quát hết view thung lũng

Làng Khét Đà Lạt đẹp nhất từ 16:00 chiều trở đi, bạn có thể tới sớm hơn một chút, nhâm nhi miếng bò nướng mềm mọng thơm ngon bên bếp than hồng rực lửa và đợi mặt trời dần buông xuống

Trong clip Thu Nhi eat clean tới hơi muộn, lúc 17:30 nên hoàng hôn chỉ còn 5p là lặn. Thiệt là tiếc luôn 😢

Làng khét biết là Đà Lạt đẹp nhất là hoàng hôn, và mong mãi trở thành một trong những điểm đón hoàng hôn yêu thích tại Đà Lạt 
#langkhetdalat #hoanghondalat #dalatdonhoanghonodau #donuongviewhoanghondalat",1,71.12,,Làng Khét Đà Lạt,ChIJSx6D_FATcTERmR98pQAGRV8,"27 Huỳnh Tấn Phát, Đà Lạt, Lâm Đồng 66000, Việt Nam",11.9534012,108.4914891,4.5,1328,2,0855 330 330,,OPERATIONAL,Thứ Hai: 16:30–22:00 | Thứ Ba: 16:30–22:00 | Thứ Tư: 16:30–22:00 | Thứ Năm: 16:30–22:00 | Thứ Sáu: 16:30–22:00 | Thứ Bảy: 16:30–22:00 | Chủ Nhật: 16:30–22:00,16:30,22:00,100,76.12,32.36,0.1028,0.7242,0.3513,990,1320,30,True
Sân Mây Đà Lạt,địa điểm checkin,2,29400,1075600,109000,,https://www.tiktok.com/@kacosmetic95/video/7387748570369232146,"⛅️ Đây là điểm Săn Mây mà mình thấy đẹp nhất tại Đà Lạt , mùa này săn mây đúng bài luôn rồi 🥰 #buikieuanh #kacosmetic #dalat #sanmay #vlogs ",2,156.96,Cafe săn mây,Sân Mây Homestay Đà Lạt,ChIJrfG9tj4TcTER9rVJnbXvq9E,"56 Hoàng Hoa Thám, Xuân Hương - Đà Lạt, Lâm Đồng 66000, Việt Nam",11.9353322,108.4640877,4.7,108,,0966 235 972,https://www.facebook.com/sanmayhomestay?mibextid=ZbWKwL,OPERATIONAL,Thứ Hai: Mở cửa cả ngày | Thứ Ba: Mở cửa cả ngày | Thứ Tư: Mở cửa cả ngày | Thứ Năm: Mở cửa cả ngày | Thứ Sáu: Mở cửa cả ngày | Thứ Bảy: Mở cửa cả ngày | Chủ Nhật: Mở cửa cả ngày,00:00,,75.86956521739131,166.96,22.05,0.2469,0.4934,0.3455,0,,30,True
Quán cà phê tone đen,cafe,1,1154,39300,9523,,https://www.tiktok.com/@chillwithvyuyennn/video/7324239184787541256,Quán cà phê tone đen đang hot tại Đà Lạt 🖤 #ThanhThoiLuotTet #dalat #fyp #dalattrip #dalatcoffee #2024 #dalattrip ,1,15.08,,Cà phê Tỏi Đen,ChIJDfFGxicTcTER-6ocP25lAmk,"15A Trần Hưng Đạo, Xuân Hương - Đà Lạt, Lâm Đồng 670000, Việt Nam",11.9379871,108.4511778,4.6,3360,2,0968 115 005,http://cafetoiden.vn/,OPERATIONAL,Thứ Hai: 07:00–21:00 | Thứ Ba: 07:00–21:00 | Thứ Tư: 07:00–21:00 | Thứ Năm: 07:00–21:00 | Thứ Sáu: 07:00–21:00 | Thứ Bảy: 07:00–21:00 | Chủ Nhật: 07:00–21:00,07:00,21:00,70.58823529411764,20.08,37.35,0.0139,0.8358,0.3426,420,1260,60,True
Ivy Coffee Farm,homestay,2,27334,860800,263200,£7 per person,https://www.tiktok.com/@thejammygits/video/7477578613265632534,"Would you pay to stay here? It’s only £7 per person!🤯 

📍ivy coffee farm - cabin house Da Lat Vietnam🇻🇳 

#vietnamtravel #travelvlogs #dalattrip #roomtour ",1,133.41,Cà phê ngắm hoàng hôn,Ivy Coffee Farm,ChIJ60l9CaBBcTERop3FBWTnxlQ,"Unnamed, Road, Hiệp Thạnh, Lâm Đồng, Việt Nam",11.7705219,108.3833161,4.9,153,,0907 002 293,https://www.facebook.com/coffeeroasters.IVY,OPERATIONAL,Thứ Hai: Mở cửa cả ngày | Thứ Ba: Mở cửa cả ngày | Thứ Tư: Mở cửa cả ngày | Thứ Năm: Mở cửa cả ngày | Thứ Sáu: Mở cửa cả ngày | Thứ Bảy: Mở cửa cả ngày | Chủ Nhật: Mở cửa cả ngày,00:00,,100,138.41,24.68,0.2016,0.5523,0.3418,0,,0,False
Bún bò Huế Thiên Trang,chợ quán,1,16900,625700,161000,,https://www.tiktok.com/@mr.cunghe/video/7129358708542393627,BÚN BÒ HUẾ THIÊN TRANG 2 - 28 Hô Tùng Mậu - Đà Lat#xuhuongtiktok2022 #trainghiemamthuc #thanhphonganhoa #amthucdalat #khamphadalat,1,89.47,,Bún Bò Huế Thiên Trang 2,ChIJo-8FoTwTcTERW5ACYZGj9sg,"2b Hồ Tùng Mậu, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",11.9364783,108.4457553,3.6,3246,,0263 3812 626,,OPERATIONAL,Thứ Hai: 06:00–16:00 | Thứ Ba: 06:00–16:00 | Thứ Tư: 06:00–16:00 | Thứ Năm: 06:00–16:00 | Thứ Sáu: 06:00–16:00 | Thứ Bảy: 06:00–16:00 | Chủ Nhật: 06:00–16:00,06:00,16:00,100,94.47,29.11,0.1319,0.6513,0.3396,360,960,45,True
Tiệm Cà Phê Bình Minh Ơi Đà Lạt,cafe,1,334,78100,216000,,https://www.tiktok.com/@tiemcaphebinhminhoidalat/video/7376464212798852370,"Căn nhà gỗ của Tiệm, căn nhà ấm áp lúc nào cũng có nhạc nhẹ và ánh đèn vàng. Ở trong nhà yên tĩnh hơn, bạn có thể ngồi làm việc, đọc sách, hay đơn giản là chỉ ngồi im chuyện trò với nhau. Góc nào cũng được, miễn bạn thấy thoải mái thì đó là vị trí đẹp nhất rồi - “Tiệm Cà Phê Bình Minh Ơi Đà Lạt ❤️”#binhminhoidalat #girls #quancaphedalatviewdep #tiemcaphebinhminhoi #xuhuong ",1,18.14,,Tiệm cà phê Bình Minh Ơi,ChIJ0auSaVETcTERn_zqE5Mxz0Q,"89 Hoàng Hoa Thám, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",11.9336278,108.4647733,4.4,4053,2,0925 903 634,https://binhminhoi.vn/,OPERATIONAL,Thứ Hai: 04:30–22:00 | Thứ Ba: 04:30–22:00 | Thứ Tư: 04:30–22:00 | Thứ Năm: 04:30–22:00 | Thứ Sáu: 04:30–22:00 | Thứ Bảy: 04:30–22:00 | Chủ Nhật: 04:30–22:00,04:30,22:00,100,23.14,36.55,0.0188,0.8179,0.3384,270,1320,60,True
