place_name,type,mention_count,total_digg,total_plays,max_followers,price_mentions,video_urls,video_caption,confidence_high,popularity_score,aliases,reason
Thôn 330,địa điểm checkin,1,31600,407000,482300,,https://www.tiktok.com/@ngocduy_diachianuong/video/7514908810608168200,Thôn 330 nơi ngắm hoàng hôn cực chill với đồ nướng siêu ngon giữa lòng Thành phố Đà Lạt #diachianuong #vtmgr ,1,82.3,,low_score_23.529411764705888
Cafe bên suối,cafe,1,12000,576600,60300,45 cành,https://www.tiktok.com/@chulamreview/video/7442942424147692817,Tiệm cafe bên suối đẹp điêngggg chỉ với 45 cành #xuhuongtiktok2024 #tiktok #xuhuong #dalat #reviewdalat #review #cafetiktok #reviewcafe #dalatstory #viralvideo #fyp #trending #viral #vietnam #đalatstatus #xhtiktok #chulamreview #thebalihill ,1,79.66,,low_score_54.054054054054056
dicungthy,homestay,1,11100,522700,238800,,https://www.tiktok.com/@dicungthy/video/7338260421125623060,Hoemstay xịn mịn view hoàng hôn ở trung tâm là Đà Lạt #dicungthy #vtvcab #tiktoktravel #dulichdalat2024 #homestayviewdepdalat #homestaydalatviewdep #homestaydalat ,1,73.37,,low_score_38.46153846153846
Datanla Adventure Activities,địa điểm checkin,1,20900,294600,695,,https://www.tiktok.com/@atiqahumirah_/video/7558449624244129031,"1500m zipline unlocked ✨ 
📍Datanla Adventure Activities
#dalat #vietnam #zipline ",1,60.36,,low_score_29.166666666666664
Tiệm Gà Túk Túk Đà Lạt,cafe,1,11300,385900,30800,,https://www.tiktok.com/@chamdidaudo/video/7626977976462150930,Quán ăn độc lạ Đà Lạt  @Tiệm Gà Túk Túk Đà Lạt #chamdidaudo #dalat #dalattrip #dalatangi #tiemgatuktuk ,1,59.89,,low_score_62.61904761904761
Mien Du Muc coffee,cafe,1,10100,369700,45000,,https://www.tiktok.com/@vietnammoment.official/video/7583993449930624276,"This cafe feels like a heaven, with blooming gardens and a fairytale vibe. Don’t miss it when you’re in Da Lat.

📍Mien Du Muc coffee, Da Lat, Vietnam.

👉🏻 Follow us @vietnammoment for more travel inspiration and wanderlust-inducing moments! 🌟🌍
________________
#cafe #dalat #vietnamtravel #vietnam ",1,57.07,,low_score_62.06896551724138
Suoibinhyen,cafe,1,7574,374600,106100,,https://www.tiktok.com/@huongnoilamphim/video/7489681547797269815,Chạy 300 km chỉ để thấy cảnh này 😱#suoibinhyen #dalat #cafedalat #reviewdalat #dalatreview #dalattrip #xuhuong #huongnoilamphim ,1,55.03,,low_score_41.666666666666664
Home tour căn nhà Pháp,homestay,1,7426,157400,9506,,https://www.tiktok.com/@vivove49/video/7637840314656443656,Vlog Vi làm homestay ở Đà Lạt tập 34 - Home tour căn nhà Pháp   #vilamhomestay #phanvivlog #rapthome #raptmaison #homestaydalat,1,33.17,,low_score_48.64864864864865
Mì Bò XIII,chợ quán,1,2649,196300,213,,https://www.tiktok.com/@lynavananh/video/7443370316094557458,"📍Tiệm mì Bò tại Đà Lạt -  Mì Bò XIII. Với Na thì ngon, bánh phô mai xúc sắc 🤤🤤#tiemmibophugia #mibodalat #tiemmidalat #dalatfood #mibo #fyp ",1,32.28,,low_score_63.63636363636363
Xe cá viên chiên huyền thoại,chợ quán,1,3719,140400,21800,,https://www.tiktok.com/@toiladandalat/video/7517947514473942304,"Xe cá viên chiên huyền thoại đối diện cổng trường Bùi Thị Xuân, Đà Lạt #dalat #toiladandalat #dalatangi #xh #fyp #anvat #cavienchien ",1,27.76,,low_score_47.45762711864406
Happy Hill,cafe,1,2320,105700,27700,,https://www.tiktok.com/@happyhillcoffee/video/7632893615571848469,Happy Hill hiện tại lễ giỗ tổ Hùng Vương 🥳🥰🥳. #khoanhkhachappyhill #happyhillcoffee #happyhilldalat #dulichvietnam #checkindalat ,1,22.89,,low_score_52.735849056603776
Quán ăn vặt mở khuya ở Đà Lạt,chợ quán,1,3078,93400,207600,,https://www.tiktok.com/@didalatcungtruc/video/7618543330791623957,Quán ăn vặt mở khuya ở Đà Lạt #anvatdalat #didalatcungtruc #ancungtiktok #reviewdalat #isbtalents  ,1,22.42,,low_score_52.63157894736843
Datanla New Alpine Coaster,địa điểm checkin,2,514,13651,9096,,https://www.tiktok.com/@hieuhefner/video/7157402703180696875,Datanla New Alpine Coaster Vietnam 🇻🇳 #rollercoaster #vietnam ,2,21.88,,low_score_39.13043478260869
Datanla Falls,thiên nhiên,2,86,10514,14600,,https://www.tiktok.com/@macartneytravels/video/7585025161540275476,"Datanla Falls Vietnam Da Lat 🇻🇳

Must visit! 👌

#datanla #viral #fyp #waterfalls #vietnam ",2,21.14,Datanla Đà Lạt,low_score_48.64864864864865
Banh Mi Xiu Mai,chợ quán,2,251,8167,12600,15-20k,https://www.tiktok.com/@minutemuncher/video/7436000173614009643,"ladies and gentlemen, i think ive finally found it. The best banh mi xiu mai in da lat, and maybe all of vietnam #vietnam #vietfood #vietfoodie #vietnamesestreetfood #vietnamesemukbang #banhmi #banhmixiumai #banhmixiumaidalat #minutemuncher ",2,21.07,Bánh mì chả cá,low_score_64.70588235294117
siu xinh,homestay,1,2441,85400,19800,,https://www.tiktok.com/@lnthaotrann/video/7535500229265722631,Bỏ túi thêm chiếc home siu xinh ở Đà Lạt nữa nè mí bà #reviewdalat #homestaydalat #lnthaotran ,0,20.98,,low_score_62.5
Datanla Waterfall,thiên nhiên,2,153,6161,1780,,https://www.tiktok.com/@travel_i_luv/video/7363917918603627783,Fun time at Datanla Waterfall in Đà Lạt with @Binsalem9999 I’m ready to go back whenever you are❣️❣️#BấtHối #MissingYou💔 #NMT #simplejoy #hpdongianvaythoi❤🙆‍♀️,2,20.77,,low_score_43.90243902439024
nhà hàng xinh như cổ tích, nhà hàng,1,1447,92700,227500,,https://www.tiktok.com/@traanxngg/video/7194824583839485210,một nhà hàng xinh như cổ tích cho lần tiếp theo mng đến Dalat🤍 #dalat #dalatreview #xuhuong #ancungtiktok #dalatfood ,1,20.72,,low_score_60.0
địa điểm checkin siêu đẹp tại đà lạt,địa điểm checkin,1,2108,65500,252000,,https://www.tiktok.com/@dao_duy_phuong/video/7621552941580750087,Địa điểm Checkin siêu đẹp tại Đà Lạt nhưng không phải ai cũng đủ bản lĩnh để chinh phục #reviewcungmap #chill #dalat #rungthong,1,18.66,,low_score_35.08771929824561
Xôi xoài Thái Lan,chợ quán,1,1404,56200,207600,,https://www.tiktok.com/@didalatcungtruc/video/7378479439560117505,🤤 Xôi xoài Thái Lan ở khu hoà bình Đà Lạt #xoixoaithai #anvatdalat #isbtalents #didalatcungtruc #dalatreview #reviewdalat #ancungtiktok #reviewanngon #monngondalat ,1,17.02,,low_score_42.553191489361694
Cafe TAVI,cafe,1,1537,49100,15700,,https://www.tiktok.com/@dalat_reels/video/7592931867377224980,📍Tiệm cà phê TAVI #dalatreels #dalat #checkindalat #tiemcaphetavi #caphedalat ,1,16.45,Tiệm cà phê TAVI,low_score_48.0
207 Cafe,cafe,1,1462,42700,8923,,https://www.tiktok.com/@zamorakris/video/7635282156457184520,📍207 Cafe #caferecommendation #cebucafe #studytok ,1,15.73,,low_score_50.0
Ẩm thực Nam Anh Phát,quán nướng | nhà hàng,1,2115,18200,5678,,https://www.tiktok.com/@quanngondalat/video/7458879362511686920,"Quán nướng Đà Lạt hay Lẩu gà lá é Đà Lạt ngon cho gia đình, nhóm bạn đông hãy thử ghé qua Ẩm thực Nam Anh Phát - Ẩm thực Tây Nguyên hội tụ đầy đủ món ăn vùng miền chất lượng! 
#quannuongdalat #laugalaedalat #amthucdalat #amthuctaynguyen #dalat #dalatangi #anngondalat #quanngondalat #tiemnuongdalat #reviewdalat #dalatreview #laucatam #laucatamdalat ",1,13.94,,low_score_57.77777777777777
Quán A Mẫn,cafe,1,417,31200,70700,,https://www.tiktok.com/@julepe.sheen/video/7586520176925887752,"Quán ăn núp hẻm, đông khách địa phương. Quán A Mẫn, hải sản ốc ngon toẹt vời luôn. #dalatangi ",1,13.54,,low_score_62.5
Cô Long,địa điểm checkin,1,582,28500,20700,,https://www.tiktok.com/@hanh.bupb/video/7630680747443031316,#colongdalat #xuhuong #checkindalat #cafecolong #happyhill cô long mà không có lông….,1,13.43,,low_score_50.0
Dĩnh Tiên,địa điểm checkin,1,704,24200,22000,,https://www.tiktok.com/@sugarmaker72/video/7236194040532782342,Replying to @Heo Sữa🐽🥛 Dĩnh Tiên mời bạn ăn nha #dĩnhtiên #dalat #khamphadalat #cuocsongdalat #dalatstory #nấm #háinấm #foryou #reviewdalat #dalatreview #ghiendalat #ancungtiktok #cooking ,1,13.12,,low_score_64.0
Cafe đang hot nhất lúc này tại Đà Lạt,cafe,1,271,26100,60300,,https://www.tiktok.com/@chulamreview/video/7443779642986712337,"Quán cafe đang hot nhất lúc này tại Đà Lạt, đẹp điênggggg#xuhuongtiktok2024 #cafe #coffee #noel #giangsinh #giangsinh2024 #cafedalat #tiktok #review #chulamreview #viral #reviewdalat #merrychristmas #xmas #fyp #puppyfarm ",1,12.88,,low_score_51.06382978723405
Trông,cafe,1,148,17200,9523,,https://www.tiktok.com/@chillwithvyuyennn/video/7325273773047909650,Trông - quán cà phê tone đen siêu hot dạo gần đây cùng concept hoa tulip mới 🌷 #dalat #fyp #ThanhThoiLuotTet #dalatcoffee #dalatreview #dalattrip #2024 #dalattravel ,1,11.87,,low_score_48.333333333333336
Bánh Mì BOM,chợ quán,1,187,15200,53,12k - 20k,https://www.tiktok.com/@bomgamingdalat/video/7557905186564459783,"🥖 BÁNH MÌ & BÚN THỊT NƯỚNG SAU CỔNG ĐẠI HỌC ĐÀ LẠT 🏫
Giòn rụm – thơm lừng – topping đầy ụ luôn 😋
Chỉ từ 12k có bánh mì gà xé, 14k thịt nướng, 15k thập cẩm
và bún thịt nướng chỉ 20k thôi nha! 💥

Sinh viên Đại học Đà Lạt mà chưa ghé “Bánh Mì BOM” là thiếu sót đó nha 😍
📍Ngay sau cổng trường, ghé ăn thử liền đi nè!

💬 Comment “Đà Lạt” để tui chỉ chỗ cho nè!

#BanhMiDaLat #BunThitNuongDaLat #BanhMiBom #DaLatFood #DaLatUniversity         ",1,11.71,,low_score_50.0
Hoadaquy,cafe,1,182,12000,60300,,https://www.tiktok.com/@chulamreview/video/7446275711201053959,Đi lẹ không là hết hoa tới nơi 😂#xuhuongtiktok2024 #hoadaquy #review #dalat #chill #reviewcafe #cafetiktok #cafedalat #dalatcoffee #reviewdalat #chulamreview #calalily #fypシ゚ #fyp ,1,11.38,,low_score_45.45454545454546
Quán nướng được khen nhiều tại Đà Lạt,khác,1,91,8346,5679,,https://www.tiktok.com/@quanngondalat/video/7412955870415392006,"Quán nướng được khen nhiều tại Đà Lạt sẽ ra sao?
#quanngondalat #dalat #reviewdalat #dalatreview #xuhuong #dalattrip #dalatfood #quanandalat #maudichdalat #quannuongmaudich #anngon #xh #xuhuong ",1,10.93,,low_score_59.09090909090908
Tiệm cà phê Custty - Coffee & More,cafe,1,58,7351,184,,https://www.tiktok.com/@caphedalat01/video/7450131900565327111,"📍Tiệm cà phê Custty - Coffee & More Đà Lạt
Quán cà phê Đà Lạt dễ thương tone pastel! 
#dalat #caphedalat #cafedalat #caphe #coffe #coffeetime #reviewdalat #dalatreview #dalatstory #dalattrip #pastel ",1,10.79,,low_score_54.54545454545454
Nui sốt đẫm xíu mại,chợ quán,1,317,3276,329,29kkk,https://www.tiktok.com/@nuisotphomaidalat/video/7635897648288976148,Nui sốt đẫm xíu mại ăn no căng mà chỉ 29kkk 🥳 #monngondalat #nuisotxiumaiphomai #anvatdalat #dalatangi ,1,10.64,,low_score_44.99999999999999
10 Trịnh Hoài Đức,homestay,1,108,4680,51,giá rẻ,https://www.tiktok.com/@nhung.phm8326/video/7638972534901411080,"📍Homestay Đà Lạt - 10 Trịnh Hoài Đức, P11, Đà Lạt 

 Một góc nhỏ bình yên giữa Đà Lạt mộng mơ với không gian xinh xắn, view đồi thông và không khí trong lành. Homestay phù hợp cho cặp đôi, nhóm bạn hoặc ai muốn tìm cảm giác nhẹ nhàng, chữa lành 🫶🏻🏔️ #homestaydalat #homestaydalatgiare #dulichdalat #dalat ",1,10.58,,low_score_53.57142857142857
Quán Cà Phê Happy Hill Coffe Cô Long,cafe,1,179,2996,1460,,https://www.tiktok.com/@thuyn0010/video/7627694439330319636,Quán Cà Phê Happy Hill Coffe Cô Long #colong #caphe #caphedalat #happyhill #happyhilldalat ,1,10.48,,low_score_55.696202531645575
Ở Lại Mây,địa điểm checkin,1,74,3732,9164,,https://www.tiktok.com/@olaimay.dalat/video/7628473827680455943,"Săn hoàng hôn Đà Lạt không thể quên địa điểm Ở Lại Mây - Không chỉ có nhiều góc checkin siêu đẹp, dùng trà chiều nóng hổi cùng khoai bắp nướng mà Mây còn có BBQ và Đêm nhạc Acoustic mỗi đêm tất cả các ngày trong tuần !
#olaimay #demnhacolaimay #hoanghondalat #dalatangi #dalatdidau",1,10.45,,low_score_50.29411764705882
địa điểm check in healing,địa điểm checkin,1,149,2921,7374,,https://www.tiktok.com/@alvinodalat/video/7621150466788871432,"Giới thiệu thêm cho mọi người một địa điểm check in healing tại Đà Lạt. 
#dalat #viral ",1,10.44,,low_score_54.90196078431373
Rackie Burger,cafe,1,40,3232,175,,https://www.tiktok.com/@rackie.burgerdalat/video/7594445599441816852,"Rackie Burger - Handmade burger in Dalat 
Open : 17h - 22h
📍 Số 2 Huyền Trân Công Chúa, Đà Lạt 
#burgerdalat #dalat #dalatfood #rackieburger #loveburger ",1,10.36,,low_score_48.0
HAMY HOUSE,homestay,1,40,2221,15000,1xx,https://www.tiktok.com/@hamyhousedalat/video/7637027690880486677,"Lâu lắm rồi mới quay được trong nhà ☺️ 
HAMY HOUSE là nguyên căn 4p gần trung tâm mà chỉ 1xx🐠/đimmm 💖
#dalat #reviewdalat #xuhuong #hamyhousedalat #homestaydalat ",1,10.26,,low_score_33.333333333333336
vườn cam cara,địa điểm checkin,1,25,2112,2736,,https://www.tiktok.com/@thuy_nina2/video/7438507038516202760,Mời cả nhà ghé tham quan vườn cam cara ruột đỏ nha#dalat #camcara #donduong #dran #dacsanvietnam ,1,10.24,,low_score_56.00000000000001
Cafe xinh,cafe,1,34,1917,6105,high,https://www.tiktok.com/@nanhor_/video/7362513512943357185,"Quán cafe xinh xỉuuuu, mà nước hơi cao tẹo 🥲. Cây cây hoa hoa là thích òi 😘 #2024 #nanhor_ #dalatreview #review #fyp #dalat #food ",0,10.23,,low_score_55.172413793103445
Vườn cam canh ở K'long K'lanh,địa điểm checkin,1,60,985,2681,,https://www.tiktok.com/@lcd_dalat/video/7590671504824749332,"""Khi cuộc đời cho bạn quả Quýt nhưng mình thì chọn quả Cam 🍊"" 😆😆
Chị Thảo lên Đà Lạt chơi. Nên 2 chị em mình sẽ dẫn đi vườn cam canh ở K'long K'lanh tham quan và hái ít về làm quà. Tuy ở xứ lạnh nhưng cam vẫn rất ngọt và ngon luôn 🤤🤤😍😍🍊🍊#dalat #yeudalat #camcanh🍊 #vuoncamcanhdalat #🏳️‍🌈 ",1,10.16,,low_score_59.57446808510638
35 Trạng Trình,chợ quán,1,52,959,249,7k-8k,https://www.tiktok.com/@bepnhagau.dalat/video/7538436147542871303,"Ăn vặt Đà Lạt giá chỉ từ 7k-8k
35 Trạng Trình (nhà gỗ xinh xắn)
#bepnhagau #anvatdalat #dalat #foodie ",1,10.15,,low_score_62.22222222222222
Louisville,khác,1,54,658,1126,,https://www.tiktok.com/@dalatscafe/video/7637593131508043039,available this mother's day weekend 🫶🫶🫶 #dalatscafe #louisvilleky,0,10.12,,low_score_12.5
Tiệm cà phê trong Rừng,cafe,1,26,598,118,,https://www.tiktok.com/@vudasar/video/7590390530903641364,"Buổi cà phê ngày đầu tiên của 2026 của Tiệm cà phê trong Rừng 
#dalatcamp 
#dasar 
#VuoDasar 
#outdoor ",1,10.09,,low_score_59.09090909090908
Cafe Chiu Chiu,cafe,1,22,395,1099,,https://www.tiktok.com/@hoang.anh.822/video/7496913074838916383,Cafe Chiu Chiu ...#dalat #vietnamtrip #dulichdalat #caphedalat #vietnamese #california #usa #xuhuong #tiktok #hottrend,1,10.06,,zero_results
Thác Pongour,thiên nhiên,1,14,495,4443,,https://www.tiktok.com/@thanhlanbt88/video/7635497474953596167,Thác Pongour được mệnh danh là thác hùng vĩ nhất tại Đà Lạt. Với vẻ đẹp hoang sơ và không kém phần thơ mộng là điểm đến lý tưởng khi khám phá Đà Lạt#thanhlanbt88 #canhdepdalat #khamphadalat #thacnuoc#thacpongour ,1,10.06,,out_of_dalat
Chồn Cafe,cafe,1,8,373,50,,https://www.tiktok.com/@kdk2801/video/7636235062677179655,vườn cafe Chồn Cafe Với/dalat#fyp#foryou#foryoupage#xuhuong2026 ,1,10.05,,low_score_61.15384615384615
Biệt điện Trần Lệ Xuân,địa điểm checkin,1,6,455,740,,https://www.tiktok.com/@hazelssketches/video/7634577373265956117,"Biệt điện Trần Lệ Xuân - một địa điểm check-in quá đẹp ở Đà Lạt mà gia đình mình tình cờ ghé thăm trong một buổi chiều random không biết đi đâu. Chúng mình là những người khách tham quan duy nhất trong buổi chiều ngày hôm đó. Tiếng gió xào xạc, tiếng chim, tiếng sỏi lạo xạo dưới từng bước chân xen lẫn với chút se lạnh của Đà Lạt làm mình cảm giác như đang được sống lại lịch sử từ hơn nửa thế kỷ trước.

#madamededalat #dalat #checkindalat ",1,10.05,,low_score_35.29411764705882
Tiem Com Tau,cafe,1,8,258,4330,,https://www.tiktok.com/@laurenvacula/video/7629196342413315358,"#stitch with @DW Around The World | Traveler thank you for this rec- this was such a good vegan bahn mi find in Dalat, Vietnam! the bread was delicious and she had some crunchy mushrooms on it too. I routed to this place on Google Maps:

📍Tiem Com Tau  #dalat #vietnam #veganbahnmi #vietnamtravel ",1,10.03,,low_score_51.85185185185186
A Mía,cafe,1,3,140,2401,,https://www.tiktok.com/@lvtdlion/video/7639352398145752340,"Ghé ngay A Mía có quà có quà 🍭
#dalat #fyp #hot #monngondalat #angiodalat ",1,10.02,,low_score_57.14285714285714
Cafe dừa sầu riêng,cafe,1,3,133,16,100k,https://www.tiktok.com/@caphengondakla/video/7382785585171139856,Cafe dừa sầu riêng giá chỉ 100k #xuhuong #thinhhanh #frending #cafe #caphe #càphesaurieng #xh ,1,10.02,,low_score_46.51162790697675
Thác tại View triệu đô,thiên nhiên,1,8,113,951,,https://www.tiktok.com/@thiendaugau7/video/7639753885875293460,Thác tại View triệu đô #dulichvietnam #dalat #viraltiktok #foryou #fypシ゚ ,1,10.02,,low_score_61.111111111111114
quán siêu xinh,cafe,1,3,39,2582,,https://www.tiktok.com/@gocnhodalat_01/video/7407332379066518791,Mách bảo cho bạn mấy quán siêu xinh này nha #gocnhodalat #dalatdivatrainghiem #dalatreview #coffee ,0,10.01,,low_score_47.36842105263158
