day,stop,method,name,type,arrive,start_visit,end_visit,feasible,dist_km,rating,attraction_score,address,video_url,lat,lng
2,8,SA,Tiệm cơm Hồi Nớ,chợ quán,14:52,14:52,15:37,True,0.21,4.5,0.3155,"3B, 4 Trần Hưng Đạo, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@nghiabiu.daily/video/7617051471355350292,11.9373916,108.4473933
2,9,SA,New Light Coffee,cafe,15:41,15:41,16:41,True,1.88,4.6,0.333,"3 bis Hoàng Hoa Thám, Đà Lạt, Lâm Đồng 66000, Việt Nam",https://www.tiktok.com/@new_light_coffee/video/7505778560313920785,11.9409927,108.4642694
2,10,SA,Soho Coffee Đà Lạt,cafe,16:42,16:42,17:42,True,0.26,4.9,0.3036,"21 Hoàng Hoa Thám, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@julepe.sheen/video/7601887338511289608,11.9389445,108.4631401
2,11,SA,Cafe Hot,cafe,17:44,17:44,18:44,True,1.13,4.5,0.3385,"59 Nguyễn Trãi, Lâm Viên - Đà Lạt, Lâm Đồng 66111, Việt Nam",https://www.tiktok.com/@yangho0910/video/7387663612401290517,11.9443445,108.4543587
2,12,SA,Chợ đêm,chợ quán,18:48,18:48,19:33,True,1.89,4.2,0.3759,"Đường Nguyễn Thị Minh Khai, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@callmevyvo/video/7359542199014493448,11.9414015,108.4372912
2,13,SA,Chợ Đà Lạt,chợ quán,19:33,19:33,20:18,True,0.19,4.5,0.2951,"chợ Đà Lạt, 24 Đường Nguyễn Thị Minh Khai, Xuân Hương - Đà Lạt, Lâm Đồng 02633, Việt Nam",https://www.tiktok.com/@ngotdichoi/video/7587357211525926164,11.9430226,108.4368778
3,1,SA,Gạch Since 1988 Cafe,cafe,07:00,07:00,08:00,True,0.0,4.9,0.3538,"thôn 3, Cam Ly - Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@haannday/video/7631923500042800392,11.9133535,108.3379326
3,2,SA,Mongo land,khác,08:00,08:00,08:45,True,0.3,4.5,0.3723,"Tổ 16 thôn 1, Tà Nung, Cam Ly - Đà Lạt, Lâm Đồng 670000, Việt Nam",https://www.tiktok.com/@two_peas_abroad/video/7549937570201816342,11.9157314,108.3392217
3,3,SA,Làng Cù Lần,thiên nhiên,09:10,09:10,10:40,True,12.55,4.6,0.4048,"ĐT722, Lang Biang - Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@bacxiuneee_/video/7605564991403560213,12.0260122,108.3636996
3,4,SA,Maze bar,cafe,11:05,11:05,12:05,True,0.29,4.6,0.3088,"57 Phan Bội Châu, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@two_peas_abroad/video/7549937570201816342,11.9446386,108.4375466
3,5,SA,Say xưa,chợ quán,11:04,12:00,12:45,False,11.87,4.8,0.3072,"68 Phan Đình Phùng, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@bocauzotriiudalat/video/7524263642276105479,11.9451729,108.4349457
3,6,SA,Đôi Đũa Có Cơm Niêu,quán ăn,12:08,12:08,12:53,True,1.95,4.8,0.32,"96 Đường Phù Đổng Thiên Vương, Lâm Viên - Đà Lạt, Lâm Đồng 67000, Việt Nam",https://www.tiktok.com/@doiduadalat/video/7503154580214091016,11.9613986,108.4429215
3,7,SA,Đồi Mộng Mơ,thiên nhiên,12:57,12:57,14:27,True,1.85,4.3,0.3102,"Số 5 Đường Mai Anh Đào, Lâm Viên - Đà Lạt, Lâm Đồng 670000, Việt Nam",https://www.tiktok.com/@sk1p3r009/video/7497089146683542830,11.9778728,108.445152
3,8,SA,Quán cafe Thời Thanh Xuân,cafe,14:38,14:38,15:38,True,5.54,4.9,0.3456,"9 Đường Triệu Việt Vương, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@traveleverywhere.vn/video/7399602885719346450,11.9308749,108.4283069
3,9,SA,Khoai Lang Nướng,chợ quán,15:39,16:30,17:15,True,0.45,4.9,0.36,"70 Pasteur, Xuân Hương - Đà Lạt, Lâm Đồng 670000, Việt Nam",https://www.tiktok.com/@quanngondalat/video/7532857742118096148,11.9341879,108.426007
3,10,SA,Mộc Quán BBQ,chợ quán,17:19,17:19,18:04,True,2.08,4.8,0.3012,"Hẻm 59 Đường Đống Đa, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@tungnuitravel/video/7445286601103510801,11.9218202,108.4404024
3,11,SA,Tiệm nướng trong rừng @Miền Du Mục,chợ quán,18:05,18:05,18:50,True,0.49,4.5,0.3267,"3 bis Đống Đa, Xuân Hương - Đà Lạt, Lâm Đồng 670000, Việt Nam",https://www.tiktok.com/@dieuhoang211/video/7523798698493545735,11.9236382,108.4445164
3,12,SA,Hoàng Hôn,địa điểm checkin,19:01,19:01,19:31,True,5.43,4.9,0.3187,"37 Đường Trần Đại Nghĩa, Lâm Viên - Đà Lạt, Lâm Đồng 67000, Việt Nam",https://www.tiktok.com/@hachireview74/video/7460073643004022034,11.9719841,108.4514667
3,13,SA,Vườn thú Zoodoo,thiên nhiên,20:13,20:13,21:43,False,21.37,4.5,0.3711,"QL27C, Lạc Dương, Lâm Đồng, Việt Nam",https://www.tiktok.com/@grinlai/video/7636632967338560775,12.1120052,108.5861358
