place_name,type,mention_count,total_digg,total_plays,max_followers,price_mentions,video_urls,confidence_high,popularity_score,aliases
Nao Ranh Cafe,cafe | địa điểm checkin,1,10400,602000,81600,,https://www.tiktok.com/@naoranhcaphe/video/7585400904535297296,1,80.6,
Thác 7 Tầng,thiên nhiên,4,7923,317877,140400,,https://www.tiktok.com/@didendaudo/video/7263684270265224449,4,79.71,
Quán Cà Phê View,cafe,1,5080,602500,5777,,https://www.tiktok.com/@smiletuan/video/7171762443759275290,1,75.33,
Tiệm bánh căn của người Đà Lạt,chợ quán,1,14600,506000,482300,30k,https://www.tiktok.com/@ngocduy_diachianuong/video/7599515795651071253,1,75.2,
Tháp truyền hình,địa điểm checkin,1,16000,486800,4567,,https://www.tiktok.com/@tiemcomganh/video/7590616146706042132,1,74.68,
Biệt thự đồi Robin,địa điểm checkin,1,16000,486800,4567,,https://www.tiktok.com/@tiemcomganh/video/7590616146706042132,1,74.68,
Cung đường Bắc Âu,địa điểm checkin,1,16000,486800,4567,,https://www.tiktok.com/@tiemcomganh/video/7590616146706042132,1,74.68,
Bức tường Hàn Quốc,địa điểm checkin,1,16000,486800,4567,,https://www.tiktok.com/@tiemcomganh/video/7590616146706042132,1,74.68,
Góc Dã Tượng và Yết Kiêu,địa điểm checkin,1,16000,486800,4567,,https://www.tiktok.com/@tiemcomganh/video/7590616146706042132,1,74.68,
Cung đường Hàn Thuyên,địa điểm checkin,1,16000,486800,4567,,https://www.tiktok.com/@tiemcomganh/video/7590616146706042132,1,74.68,
Om Secret Hill Dalat,homestay,1,8727,555800,40200,,https://www.tiktok.com/@shundidau_/video/7610461933954764053,1,74.31,
Lang farm,địa điểm checkin,2,10067,438000,54100,,https://www.tiktok.com/@langfarmcenter/video/7527934538673032449,2,73.87,DalangFarm
Cafe Lời Của Gió,cafe,1,4752,580000,70600,,https://www.tiktok.com/@julepe.sheen/video/7371685175857564946,1,72.75,
1/2 Circle Coffee,cafe,1,5518,535900,76800,,https://www.tiktok.com/@duocroidithoi.sg/video/7387617478555258120,1,69.11,
Soho Coffee Đà Lạt,cafe,1,9119,486100,70600,,https://www.tiktok.com/@julepe.sheen/video/7601887338511289608,1,67.73,
SOLENA Quãng Trường La Mã Đà Lạt,địa điểm checkin,1,16100,392800,2880,,https://www.tiktok.com/@chenhimientay/video/7604057447661079826,1,65.38,
Coffee View Rừng Thông,cafe,1,9035,455300,242400,,https://www.tiktok.com/@du_lich_dalat/video/7370584944269184257,1,64.56,
Fairytale Land,địa điểm checkin,1,31900,226400,16000,,https://www.tiktok.com/@dalat_fairytale_land/video/7448631956603981074,1,64.54,
Tích Lan Cột Tình Đà Lạt,thiên nhiên,1,22200,319700,15900,,https://www.tiktok.com/@dalat_fairytale_land/video/7620435689280163090,1,64.17,
REO Campsite,địa điểm checkin,1,13900,400100,102900,,https://www.tiktok.com/@reodalat/video/7494138513517071624,1,63.91,
3 Quán Cafe View Siêu Đỉnh,địa điểm checkin,1,4056,479000,263300,,https://www.tiktok.com/@ghiendalat_official/video/7260308599430204673,0,61.96,
155ca,cafe,1,17900,338900,1591,,https://www.tiktok.com/@vuongtong_1/video/7634451004020444423,1,61.79,
Tiệm cơm phần siêu ngon,khác,1,8410,423600,207700,hơi bị rẻ,https://www.tiktok.com/@didalatcungtruc/video/7104962108843887899,1,60.77,
Hoàng Hôn,địa điểm checkin,1,18300,319900,424400,,https://www.tiktok.com/@hachireview74/video/7460073643004022034,0,60.29,
Trúc Trực Wolf House,homestay,1,6010,440900,34500,,https://www.tiktok.com/@tructruc.wolfhouse/video/7524347222104804615,1,60.1,
Quán lẩu cá tầm,chợ quán,1,7435,426200,789800,,https://www.tiktok.com/@nhandian/video/7580740804403039496,0,60.06,
Cà phê Happy Hill,cafe,1,10300,364300,176200,,https://www.tiktok.com/@hongphuonghoteldalat42/video/7588448993714228481,1,56.73,
Mien Du Muc coffee,cafe,1,9965,365600,44400,,https://www.tiktok.com/@vietnammoment.official/video/7583993449930624276,1,56.53,
Da Lat Night Market,chợ quán,1,15300,308000,635900,,https://www.tiktok.com/@nama.bites/video/7190212898000571653,1,56.1,
Thác Đatanlar,thiên nhiên,2,9478,237300,653,,https://www.tiktok.com/@trieunhivlog/video/7474836484277701896,2,53.21,
Cafe Solé,địa điểm checkin,1,10200,324100,107100,,https://www.tiktok.com/@thaoleader/video/7636004586985213204,1,52.61,
Khách sạn đáng thử gần trung tâm Đà Lạt,khách sạn,1,6996,354200,42900,,https://www.tiktok.com/@dihetdalat/video/7515412014664043783,0,52.42,
Homestay Tranoi,homestay,1,4960,370600,74200,,https://www.tiktok.com/@ngoctran95_03/video/7349139757395479815,1,52.02,
Quán cafe HabaNuru,cafe,1,4960,370600,74200,,https://www.tiktok.com/@ngoctran95_03/video/7349139757395479815,0,52.02,
Quán Cơm Trưa Với Các Món Ăn Đặc Sản Của Người Đồng Bào,chợ quán,1,6023,354500,242400,bình dân,https://www.tiktok.com/@du_lich_dalat/video/7514631840213454088,1,51.47,
Oday Co Homexinh,homestay,1,6386,341800,71800,,https://www.tiktok.com/@odaycohomexinh/video/7593300052982926612,1,50.57,
Cơm Tấm,chợ quán,2,6948,234800,242400,ngon rẻ,https://www.tiktok.com/@xalachtrondaugiam/video/7562106189757156616,1,50.43,Cơm Tấm Ngon Rẻ | Cơm Tấm Utle
Quán Cơm Linh,chợ quán,1,13700,265000,12300,,https://www.tiktok.com/@quancomlinhdalat/video/7575476880564817159,1,50.2,
Xưởng Kem Hoa,cafe,1,7810,323100,1332,,https://www.tiktok.com/@checkindalat24h/video/7579053153572736263,1,50.12,
Happy Hill Coffee,cafe,2,6213,223000,1288,,https://www.tiktok.com/@happyhill...dalat/video/7637101558462991624,2,48.51,
khu Hoà Bình,địa điểm checkin,1,5894,303800,5706,,https://www.tiktok.com/@dicunghaii/video/7485220055970565383,1,46.27,
Quán cơm Niêu,chợ quán,2,3023,231700,242400,,https://www.tiktok.com/@du_lich_dalat/video/7349758713667898625,0,46.19,Quán Cơm Niêu Ngon
Chợ đêm,chợ quán,1,6883,290500,102100,,https://www.tiktok.com/@callmevyvo/video/7359542199014493448,1,45.93,Chợ đêm Đà Lạt
Đêm nhạc Ở Lại Mây,địa điểm checkin,1,3388,312700,9115,,https://www.tiktok.com/@olaimay.dalat/video/7622118181519232274,1,44.66,
Quán Gió,chợ quán,1,4438,293400,6621,,https://www.tiktok.com/@mai_riviu/video/7535782357450657044,0,43.78,
Home Nham Minh,homestay,1,6883,265700,715,,https://www.tiktok.com/@homenhaminh_dalat/video/7617854710699117842,1,43.45,
Đèo Prenn,thiên nhiên,2,6603,162300,10300,,https://www.tiktok.com/@hoang.nguyen5696/video/7636784268684889365,2,42.83,
Tiệm cà phê Dốc thị,cafe,2,4535,180800,315100,,https://www.tiktok.com/@bananzidong/video/7452307410745658632,2,42.62,
Tiệm Cơm Hồi Đó,chợ quán,1,5057,271200,74000,平价,https://www.tiktok.com/@sayhihuy/video/7351351906515619090,1,42.18,
Cafe Nhà Của Thông,cafe,1,5243,267900,27800,,https://www.tiktok.com/@dalatdreamer/video/7629190237842918674,1,42.03,
Khoai Lang Nướng,chợ quán,1,5852,258800,5685,,https://www.tiktok.com/@quanngondalat/video/7532857742118096148,1,41.73,
Sia Home,homestay,1,3893,269300,40200,,https://www.tiktok.com/@shundidau_/video/7626742396323187988,1,40.82,
Hồ Tuyền Lâm,thiên nhiên,1,14000,164900,7892,,https://www.tiktok.com/@rng.m963/video/7558721922368867604,1,40.49,
Cà Phê Hồng Phát,cafe,4,61,1772,165,,https://www.tiktok.com/@hongphatdalat/video/7638628112892300564,4,40.24,Cà Phê Hồng Phát Đà Lạt
Bánh tráng nướng Cô Hiệp,chợ quán,1,4520,254900,5685,,https://www.tiktok.com/@quanngondalat/video/7474225694147415314,1,40.01,
The Lake House Dalat,cafe,1,3349,264400,808,,https://www.tiktok.com/@greenleila24/video/7469306140325711122,1,39.79,
Khách sạn 3 sao trung tâm Đà Lạt,khách sạn,1,3747,256700,10600,600k/đêm,https://www.tiktok.com/@review.lt7/video/7603579388763917589,0,39.42,
Langfarm Center,thiên nhiên,1,2914,261800,263300,,https://www.tiktok.com/@ghiendalat_official/video/7535672971080371474,1,39.09,
Langfarm Buffet,chợ quán,1,2914,261800,263300,,https://www.tiktok.com/@ghiendalat_official/video/7535672971080371474,0,39.09,
Quán Cafe Vibe Hàn,cafe,1,7690,209300,4925,,https://www.tiktok.com/@mee.dalat/video/7616305515848551700,1,38.62,
Căn Tin 59 Đà Lạt,chợ quán,1,6871,214500,70600,12k - 25k/ món,https://www.tiktok.com/@julepe.sheen/video/7503944643298479378,1,38.32,
Nét đẹp tự nhiên Đà Lạt,thiên nhiên,1,13100,151200,12500,,https://www.tiktok.com/@sundilaca/video/7631971399866780944,1,38.22,
Đỉnh Langbiang,thiên nhiên,1,2913,246300,30100,,https://www.tiktok.com/@ha.didau/video/7447872324709256466,1,37.54,
Tiệm Mì Kaito,chợ quán,1,6069,205700,29300,,https://www.tiktok.com/@nim.fav/video/7307841851686522119,1,36.64,
Thác Prenn,thiên nhiên,2,2054,143600,8227,,https://www.tiktok.com/@dalatcungtico/video/7234122283558767877,2,36.41,
Tắm Thác,thiên nhiên,1,6448,189500,3686,,https://www.tiktok.com/@chillwith_us/video/7488924876611374341,1,35.4,
L'amant de Dalat,homestay,2,3418,117938,1192,,https://www.tiktok.com/@lamant.de.dalat/video/7616637200691678484,2,35.21,
Tiệm cơm nhà ngon,chợ quán,3,249,36336,231300,,https://www.tiktok.com/@baro.phe/video/7431168879977630994,1,33.88,Quán cơm gà có nhiều loại sốt | Quán Cơm Linh Đà Lạt
Dieu Thong Hotel,khách sạn,1,6809,168100,200300,,https://www.tiktok.com/@tuthoreview/video/7397796407630908679,1,33.62,
Workspace Coffee,cafe,1,6567,169000,4264,,https://www.tiktok.com/@daladala247/video/7621603884275993864,1,33.47,
Cafe view lồng đèn,cafe,1,4040,188500,42900,,https://www.tiktok.com/@dihetdalat/video/7569585622667644178,1,32.89,
Oday Coffee Home,homestay,1,6025,166500,71800,,https://www.tiktok.com/@odaycohomexinh/video/7623762181804543253,1,32.67,
Quán cà phê Cô Long,cafe,1,5566,170500,2406,,https://www.tiktok.com/@dalatlamdongvn/video/7630797274771180817,1,32.62,
Làng Cù Lần,thiên nhiên,1,3497,191100,57200,,https://www.tiktok.com/@bacxiuneee_/video/7605564991403560213,1,32.61,
Mộc Quán BBQ,chợ quán,1,1404,202100,71900,,https://www.tiktok.com/@tungnuitravel/video/7445286601103510801,0,31.61,
chỗ chụp hình,địa điểm checkin,1,1659,197900,1029,,https://www.tiktok.com/@chu3thun/video/7618431180450336008,0,31.45,
Thác Pongour,thiên nhiên,3,163,8773,4447,,https://www.tiktok.com/@thanhlanbt88/video/7635497474953596167,3,31.04,
Thác May,thiên nhiên,2,1339,93837,2300,,https://www.tiktok.com/@thacmaydalat/video/7634170169182424340,2,30.72,
Rừng Lá Kim Cafe,cafe,1,3076,176400,200300,,https://www.tiktok.com/@tuthoreview/video/7403709530078579976,1,30.72,
Quảng Trường Lâm Viên,địa điểm checkin,1,18500,21400,128900,,https://www.tiktok.com/@myandangdoiban999/video/7587644118529101072,1,30.64,
Quán ăn vặt ngon Đà Lạt,chợ quán,1,4979,155400,5685,,https://www.tiktok.com/@quanngondalat/video/7540213903972666645,0,30.52,
Quán cơm gia đình Đà Lạt,chợ quán,1,4979,155400,5685,,https://www.tiktok.com/@quanngondalat/video/7540213903972666645,0,30.52,
Nhà hàng lẩu nướng Đà Lạt,nhà hàng,1,4979,155400,5685,,https://www.tiktok.com/@quanngondalat/video/7540213903972666645,0,30.52,
Tháp truyền hình Đà Lạt,địa điểm checkin,1,5110,150700,5133,,https://www.tiktok.com/@sino4994/video/7610766108861172999,1,30.18,
Băng Đàn Garden,cafe,1,2396,171500,11800,,https://www.tiktok.com/@comdongbao47/video/7596484433016900885,1,29.55,
Là Bữa In Dalat,chợ quán,1,2232,171200,177400,55🌿 cho một người,https://www.tiktok.com/@kuti20297/video/7543968164565077266,1,29.35,
Cơm Gà Bình Dân,chợ quán,1,3344,158000,455500,平价,https://www.tiktok.com/@dicungphuc/video/7544952330693840136,1,29.14,
Tiệm trà bên suối,chợ quán,1,3700,150600,207700,,https://www.tiktok.com/@didalatcungtruc/video/7634066079660182805,1,28.76,
Banh Mi Xiu Mai,chợ quán,2,1128,66645,71100,,https://www.tiktok.com/@two_peas_abroad/video/7549937570201816342,0,27.79,
Chuyện Của Mơ Đà Lạt,cafe,1,12600,49400,3786,,https://www.tiktok.com/@renleafylens.global/video/7634860293104946450,1,27.54,
Quán cơm số 7,chợ quán,1,2196,151600,43800,,https://www.tiktok.com/@tanohien/video/7371443709138832648,1,27.36,
Khu tổ hợp trò chơi giải trí,địa điểm checkin,1,1275,158100,49400,,https://www.tiktok.com/@toiudl/video/7475537134867238151,1,27.09,
Tiệm nướng mùa thu Đà Lạt,khác,1,3864,132100,482300,,https://www.tiktok.com/@ngocduy_diachianuong/video/7607637946195283220,1,27.07,
Delight Park Đà Lạt,địa điểm checkin,1,2444,144300,111100,,https://www.tiktok.com/@nhanphepha/video/7610772204464164117,1,26.87,
Xứ Sở Cổng Trời,thiên nhiên,1,1887,142600,297,,https://www.tiktok.com/@xusocongtroi/video/7528426729644248337,1,26.15,
Quán lẩu nướng Cô Xuân,chợ quán,1,2311,137100,315100,,https://www.tiktok.com/@bananzidong/video/7490785825370688776,1,26.02,
Tiệm ăn vặt ngon ở Đà Lạt,chợ quán,1,3921,119600,207700,,https://www.tiktok.com/@didalatcungtruc/video/7457163819102637320,0,25.88,
Khách sạn đẹp trung tâm Đà Lạt,khách sạn,1,1607,141200,10900,,https://www.tiktok.com/@combo.ngavivu/video/7552718308580019477,0,25.73,
Eat Vặt Xù,chợ quán,1,2739,128200,207700,,https://www.tiktok.com/@didalatcungtruc/video/7594045747868306708,1,25.56,
Quán ốc siêu ngon và tươi,chợ quán,1,3210,123500,177400,,https://www.tiktok.com/@kuti20297/video/7453686964391349511,0,25.56,
Ana Mandara Đà Lạt,khách sạn,1,981,144400,11900,,https://www.tiktok.com/@huykutis/video/7256324410284444934,1,25.42,
Tiệm ăn vặt Ying Đà Lạt,chợ quán,1,2198,130100,207700,,https://www.tiktok.com/@didalatcungtruc/video/7483496164009069831,1,25.21,
Tiệm Bánh Mì,chợ quán,2,695,43125,15600,,https://www.tiktok.com/@dalatstreet/video/7632132173440535828,0,25.01,Bánh Mì BA ĐỜI
Mint Coffee & Tea,cafe,1,3899,102500,5685,,https://www.tiktok.com/@quanngondalat/video/7606963392359730452,1,24.15,
Chòi Ôi,chợ quán,1,4619,93700,1322,,https://www.tiktok.com/@ngocdilacreview/video/7611906520112139541,1,23.99,
Ăn vặt Ying Đà Lạt,chợ quán,1,2921,110300,207700,,https://www.tiktok.com/@didalatcungtruc/video/7466082656061672712,0,23.95,
Box Studio,địa điểm checkin,1,1851,120500,110600,,https://www.tiktok.com/@sonharryy/video/7252905458686594309,1,23.9,
Son Harryy,địa điểm checkin,1,1851,120500,110600,,https://www.tiktok.com/@sonharryy/video/7252905458686594309,0,23.9,
Hellodalat,địa điểm checkin,1,1851,120500,110600,,https://www.tiktok.com/@sonharryy/video/7252905458686594309,1,23.9,
Tiệm ăn vặt Đà Lạt,chợ quán,1,2939,108800,207700,,https://www.tiktok.com/@didalatcungtruc/video/7583956254150659348,0,23.82,
"Dalat, Vietnam",thiên nhiên,1,4804,89400,71100,,https://www.tiktok.com/@two_peas_abroad/video/7619697125416291606,1,23.74,
Home này,homestay,1,3591,98700,33100,,https://www.tiktok.com/@nguoitrerongchoi/video/7567245589256146177,1,23.46,
Vườn địa đàng,thiên nhiên,2,216,31087,46600,,https://www.tiktok.com/@ducdodalat/video/7324336510549904658,1,23.32,Cafe Vườn Địa Đàng
Tiệm cơm gà 20k,chợ quán,1,2189,103000,10100,20k,https://www.tiktok.com/@lunmango/video/7578802070728281352,1,22.49,
Cà phê xanh lùn,cafe,2,545,17434,6386,,https://www.tiktok.com/@gaaaconn/video/7480527027444010247,2,22.29,cà phê REO
Tiệm Gà Tuk Tuk,chợ quán,1,1320,107400,5685,,https://www.tiktok.com/@quanngondalat/video/7569128747845176597,1,22.06,
